c fixed charge multi commodity flow
c
c problem vertices edges commodities
p fcmcf 20 230 200
c
c origin destination demand
k 11 1 33
k 0 14 29
k 8 7 71
k 19 4 24
k 4 3 55
k 19 13 18
k 14 19 52
k 18 4 37
k 7 0 26
k 5 0 24
k 0 1 35
k 16 9 56
k 1 3 32
k 1 18 18
k 16 14 64
k 0 8 29
k 13 8 68
k 11 9 56
k 1 17 55
k 5 12 19
k 10 17 69
k 7 8 17
k 10 19 28
k 14 17 58
k 6 7 51
k 18 14 30
k 12 18 67
k 11 16 42
k 14 4 72
k 19 18 67
k 2 5 46
k 12 8 34
k 17 4 19
k 11 0 25
k 10 2 34
k 9 19 41
k 8 16 63
k 0 5 29
k 3 4 43
k 8 18 19
k 6 14 43
k 8 13 68
k 7 3 49
k 3 11 26
k 18 5 24
k 10 16 45
k 9 5 46
k 3 0 41
k 19 5 18
k 2 3 15
k 1 13 15
k 13 18 53
k 2 8 51
k 11 14 69
k 0 19 28
k 8 3 66
k 11 19 67
k 6 10 60
k 10 4 20
k 9 6 30
k 10 9 65
k 11 8 26
k 2 17 27
k 4 12 22
k 0 18 59
k 16 17 44
k 16 18 39
k 3 15 74
k 2 9 31
k 18 9 28
k 15 10 33
k 11 7 26
k 15 2 41
k 0 7 68
k 9 18 71
k 13 12 37
k 12 5 57
k 16 8 33
k 6 15 45
k 11 15 20
k 2 10 46
k 16 19 29
k 12 1 51
k 2 18 27
k 12 7 18
k 12 16 65
k 3 5 32
k 14 18 33
k 5 8 63
k 18 11 52
k 15 14 32
k 4 14 43
k 7 19 18
k 9 0 62
k 3 6 64
k 8 19 66
k 16 11 18
k 17 8 43
k 15 3 46
k 10 15 53
k 5 15 33
k 18 1 39
k 16 12 30
k 7 14 64
k 13 5 68
k 15 0 59
k 8 12 43
k 9 15 37
k 4 15 23
k 0 10 71
k 17 19 63
k 8 10 40
k 16 0 57
k 15 17 73
k 9 11 69
k 10 12 31
k 15 1 36
k 19 12 26
k 1 14 58
k 2 19 71
k 15 7 35
k 4 18 29
k 1 11 74
k 16 2 41
k 5 11 73
k 13 0 64
k 12 13 27
k 7 17 52
k 12 2 39
k 13 11 20
k 16 3 16
k 19 14 52
k 15 8 64
k 12 19 46
k 0 17 47
k 17 13 54
k 8 14 57
k 13 10 38
k 8 15 25
k 7 13 62
k 0 3 69
k 16 15 19
k 13 16 39
k 17 18 71
k 10 13 36
k 6 18 57
k 5 14 15
k 3 10 47
k 0 12 22
k 9 2 34
k 2 1 71
k 3 8 72
k 2 15 40
k 15 19 69
k 9 7 61
k 13 7 41
k 11 5 20
k 4 0 53
k 8 1 15
k 2 7 53
k 10 14 28
k 17 3 69
k 11 18 50
k 0 16 53
k 8 17 60
k 10 0 28
k 8 2 60
k 9 1 18
k 19 2 64
k 17 7 33
k 8 6 63
k 5 4 64
k 5 1 74
k 8 5 40
k 0 9 65
k 2 6 19
k 19 0 73
k 12 6 63
k 12 10 29
k 15 11 53
k 13 19 67
k 16 13 40
k 12 15 17
k 8 4 35
k 17 0 28
k 2 12 44
k 18 10 30
k 13 15 24
k 14 15 37
k 10 18 48
k 14 6 35
k 0 11 15
k 8 0 19
k 11 2 39
k 9 17 35
k 3 12 60
k 4 5 53
k 0 15 36
k 6 1 73
k 1 7 15
c
c source target cost capacity fixed
a 0 9 9 825 1546
a 0 19 4 218 2842
a 0 6 8 874 4936
a 0 18 5 254 4438
a 0 4 8 203 3141
a 0 10 1 749 599
a 0 15 3 319 2443
a 0 16 3 512 4139
a 0 7 6 449 649
a 0 8 2 786 4338
a 0 3 9 721 2992
a 0 12 8 699 1297
a 0 14 7 885 3092
a 1 16 7 269 1895
a 1 17 3 790 1546
a 1 15 8 749 599
a 1 14 2 209 848
a 1 7 7 885 2194
a 1 6 6 282 4188
a 1 4 9 308 2394
a 1 0 9 885 1047
a 1 12 3 283 499
a 1 8 3 228 2543
a 1 9 7 226 1297
a 1 5 6 868 1097
a 1 2 1 928 948
a 1 18 7 743 549
a 1 19 1 758 1995
a 1 11 3 203 4886
a 2 10 9 431 2244
a 2 15 3 693 2144
