c resource constrained multi commodity flow
c EuropeAsia
c linerlib_networkname EuropeAsia_pid_824_4_best_high
c transhipmenttype complete
c
c id type|name
c 0 R0_DZAAE
c 1 R0_DZALG
c 2 R0_DZSKI
c 3 R0_ESALG
c 4 R0_ITGIT
c 5 R0_ITGOA
c 6 R0_ITSAL
c 7 R0_MAAGA
c 8 R0_MACAS
c 9 R0_SIKOP
c 10 R10_BGVAR
c 11 R10_EGALY
c 12 R10_EGDAM
c 13 R10_ITGIT
c 14 R10_SAJED
c 15 R10_TNSFA
c 16 R10_TRIZM
c 17 R11_AEJEA
c 18 R11_KWSWK
c 19 R12_DZBJA
c 20 R12_EGALY
c 21 R12_ESALG
c 22 R12_TNTUN
c 23 R12_TRAMB
c 24 R13_BDCGP
c 25 R13_HKHKG
c 26 R13_IDSRG
c 27 R13_IDSUB
c 28 R13_MYPKG
c 29 R13_SGSIN
c 30 R13_THLCH
c 31 R14_EGALY
c 32 R14_EGPSD
c 33 R14_INPAV
c 34 R14_PKBQM
c 35 R14_PKKHI
c 36 R14_SAJED
c 37 R14_TRAMB
c 38 R14_YEADE
c 39 R15_ESALG
c 40 R15_GBSOU
c 41 R15_MACAS
c 42 R15_NLRTM
c 43 R16_AEJEA
c 44 R16_BDCGP
c 45 R16_INNSA
c 46 R16_INPAV
c 47 R16_MYPKG
c 48 R16_MYTPP
c 49 R16_PKBQM
c 50 R16_PKKHI
c 51 R16_SADMM
c 52 R16_THLCH
c 53 R17_TWKHH
c 54 R17_VNHPH
c 55 R18_FIKTK
c 56 R18_PLGDY
c 57 R18_RULED
c 58 R19_DEBRV
c 59 R19_GBABD
c 60 R19_GBSOU
c 61 R19_NLRTM
c 62 R19_NOAES
c 63 R19_NOBGO
c 64 R1_BDCGP
c 65 R1_IDJKT
c 66 R1_IDSUB
c 67 R1_INMAA
c 68 R1_LKCMB
c 69 R1_MYPKG
c 70 R1_MYTPP
c 71 R1_PHGES
c 72 R1_PHMNL
c 73 R1_SGSIN
c 74 R1_THLCH
c 75 R1_TWKHH
c 76 R1_VNSGN
c 77 R20_CNDLC
c 78 R20_CNFOC
c 79 R20_CNXMN
c 80 R20_JPTYO
c 81 R20_KRPUS
c 82 R20_MYPKG
c 83 R20_SGSIN
c 84 R20_TWKHH
c 85 R21_CNDLC
c 86 R21_KRPUS
c 87 R21_MYPKG
c 88 R21_TWKHH
c 89 R22_ESALG
c 90 R22_ESTAR
c 91 R22_ESVLC
c 92 R22_FRFOS
c 93 R22_ITGOA
c 94 R22_SAJED
c 95 R23_EGPSD
c 96 R23_ESALG
c 97 R23_ESBCN
c 98 R23_FRFOS
c 99 R23_GRPIR
c 100 R23_ITGIT
c 101 R23_ITTRS
c 102 R23_JOAQB
c 103 R23_LBBEY
c 104 R23_LKCMB
c 105 R23_MYTPP
c 106 R23_SAJED
c 107 R23_SGSIN
c 108 R24_AEJEA
c 109 R24_HKHKG
c 110 R24_INMAA
c 111 R24_INPAV
c 112 R24_IRBND
c 113 R24_LKCMB
c 114 R24_MYTPP
c 115 R24_OMSLL
c 116 R24_SADMM
c 117 R24_SGSIN
c 118 R25_DEHAM
c 119 R25_ESBCN
c 120 R25_ITGIT
c 121 R26_CYLMS
c 122 R26_ESALG
c 123 R26_ESVGO
c 124 R26_GBFXT
c 125 R26_ILASH
c 126 R26_ITGIT
c 127 R26_SAJED
c 128 R26_TRMER
c 129 R26_UAODS
c 130 R27_CNXMN
c 131 R27_HKHKG
c 132 R27_JPHKT
c 133 R27_JPUKB
c 134 R27_KRPUS
c 135 R27_MYPKG
c 136 R27_MYTPP
c 137 R27_TWKHH
c 138 R28_AEJEA
c 139 R28_INCOK
c 140 R28_INPAV
c 141 R28_IRBND
c 142 R28_LKCMB
c 143 R28_OMSLL
c 144 R28_SADMM
c 145 R28_SAJBI
c 146 R28_SAJED
c 147 R29_DKAAR
c 148 R29_GBFXT
c 149 R29_RULED
c 150 R2_EGALY
c 151 R2_EGPSD
c 152 R2_LBBEY
c 153 R2_SYLTK
c 154 R2_TRIZM
c 155 R30_CNTAO
c 156 R30_CNYTN
c 157 R30_HKHKG
c 158 R30_KRPUS
c 159 R30_MYTPP
c 160 R30_SGSIN
c 161 R31_CNSHA
c 162 R31_CNYTN
c 163 R31_EGPSD
c 164 R31_ILASH
c 165 R31_ITGIT
c 166 R31_KRPUS
c 167 R31_SAJED
c 168 R32_CNYTN
c 169 R32_HKHKG
c 170 R32_SAJED
c 171 R33_FRDKK
c 172 R33_GBFXT
c 173 R33_ITGIT
c 174 R33_MYPKG
c 175 R33_MYTPP
c 176 R33_NLRTM
c 177 R33_OMSLL
c 178 R33_SGSIN
c 179 R34_AEJEA
c 180 R34_CNSHA
c 181 R34_JPNGO
c 182 R34_JPYOK
c 183 R35_CNYTN
c 184 R35_JPNGO
c 185 R35_JPYOK
c 186 R35_KRPUS
c 187 R35_MYPKG
c 188 R35_MYTPP
c 189 R35_SGSIN
c 190 R36_MYTPP
c 191 R36_SAJED
c 192 R37_EGPSD
c 193 R37_ESALG
c 194 R37_ESLPA
c 195 R37_GBFXT
c 196 R37_SAJED
c 197 R38_AEJEA
c 198 R38_CNYTN
c 199 R38_KRPUS
c 200 R39_DEBRV
c 201 R39_ESALG
c 202 R39_MYPKG
c 203 R39_MYTPP
c 204 R3_IDJKT
c 205 R3_IDSUB
c 206 R3_MYPEN
c 207 R3_MYTPP
c 208 R40_AEJEA
c 209 R40_ITGIT
c 210 R40_ITGOA
c 211 R40_JOAQB
c 212 R40_LBBEY
c 213 R40_SAJED
c 214 R41_BEANR
c 215 R41_ESALG
c 216 R41_ESVLC
c 217 R41_FRLEH
c 218 R41_ITGIT
c 219 R41_NLRTM
c 220 R42_CNLYG
c 221 R42_CNSHA
c 222 R42_HKHKG
c 223 R42_JPSMZ
c 224 R42_KRPUS
c 225 R42_LKCMB
c 226 R42_MYPKG
c 227 R42_MYTPP
c 228 R43_CNDLC
c 229 R43_KRPUS
c 230 R43_MYPKG
c 231 R43_MYTPP
c 232 R43_SGSIN
c 233 R43_TWKHH
c 234 R44_DEBRV
c 235 R44_ESALG
c 236 R44_GBFXT
c 237 R44_ITGIT
