c resource constrained multi commodity flow
c Pacific
c linerlib_networkname Pacific_high_best_30600_4
c transhipmenttype complete
c
c id type|name
c 0 R0_CNSHA
c 1 R0_IDJKT
c 2 R0_PHGES
c 3 R0_PHMNL
c 4 R0_SGSIN
c 5 R0_THLCH
c 6 R0_TWKEL
c 7 R0_TWKHH
c 8 R0_VNSGN
c 9 R10_CNTAO
c 10 R10_CNXMN
c 11 R10_CNYTN
c 12 R10_TWKHH
c 13 R10_USLAX
c 14 R11_CNDLC
c 15 R11_CNTAO
c 16 R11_CNYTN
c 17 R11_MYTPP
c 18 R12_CNSHA
c 19 R12_HKHKG
c 20 R12_JPUKB
c 21 R12_JPYOK
c 22 R12_KRPUS
c 23 R12_MYTPP
c 24 R12_SGSIN
c 25 R13_CNDLC
c 26 R13_CNTAO
c 27 R13_JPSMZ
c 28 R13_JPYOK
c 29 R13_KRPUS
c 30 R13_MYTPP
c 31 R13_TWKHH
c 32 R14_KRPUS
c 33 R14_USLAX
c 34 R14_USLGB
c 35 R15_PABLB
c 36 R15_SVAQJ
c 37 R16_CNYTN
c 38 R16_HKHKG
c 39 R16_MYPKG
c 40 R16_MYTPP
c 41 R16_SGSIN
c 42 R16_THLCH
c 43 R16_TWKHH
c 44 R16_VNDAD
c 45 R1_IDJKT
c 46 R1_MYTPP
c 47 R1_PHMNL
c 48 R1_SGSIN
c 49 R1_THLCH
c 50 R1_TWKEL
c 51 R1_TWKHH
c 52 R1_VNDAD
c 53 R1_VNSGN
c 54 R2_IDSRG
c 55 R2_IDSUB
c 56 R2_MYPEN
c 57 R2_MYPKG
c 58 R2_MYTPP
c 59 R2_SGSIN
c 60 R2_THLCH
c 61 R3_CAVAN
c 62 R3_CNSHA
c 63 R3_JPUKB
c 64 R3_KRPUS
c 65 R3_MXESE
c 66 R3_MXLZC
c 67 R3_MYPEN
c 68 R3_MYPKG
c 69 R3_MYTPP
c 70 R3_NICIO
c 71 R3_PABLB
c 72 R3_PAMIT
c 73 R3_PHMNL
c 74 R3_SVAQJ
c 75 R3_THLCH
c 76 R3_TWKHH
c 77 R3_USDUT
c 78 R3_USHNL
c 79 R3_USLAX
c 80 R3_USSEA
c 81 R3_VNHPH
c 82 R4_CNFOC
c 83 R4_CNLYG
c 84 R4_CNTAO
c 85 R4_HKHKG
c 86 R4_JPHKT
c 87 R4_JPTYO
c 88 R4_KRPUS
c 89 R4_MYPKG
c 90 R4_MYTPP
c 91 R4_SGSIN
c 92 R4_TWKHH
c 93 R5_CNLYG
c 94 R5_CNSHA
c 95 R5_CNYTN
c 96 R5_HKHKG
c 97 R5_JPNGO
c 98 R5_JPYOK
c 99 R5_MYPKG
