c resource constrained multi commodity flow
c WorldSmall
c linerlib_networkname WorldSmall-All-5
c transhipmenttype complete
c
c id type|name
c 0 R0_CNYTN
c 1 R0_DEBRV
c 2 R0_HKHKG
c 3 R0_NLRTM
c 4 R10_AUBNE
c 5 R10_CNSHA
c 6 R10_CNTAO
c 7 R10_CNYTN
c 8 R10_HKHKG
c 9 R10_KRPUS
c 10 R10_TWKHH
c 11 R11_PABLB
c 12 R11_USCHS
c 13 R11_USLAX
c 14 R12_CAVAN
c 15 R12_CNSHA
c 16 R12_CNTAO
c 17 R12_CNYTN
c 18 R12_JPYOK
c 19 R12_KRPUS
c 20 R12_MYTPP
c 21 R12_TWKHH
c 22 R12_USLAX
c 23 R13_BEANR
c 24 R13_DEBRV
c 25 R13_ESALG
c 26 R13_GBFXT
c 27 R13_NLRTM
c 28 R13_PAMIT
c 29 R13_ZADUR
c 30 R14_ESALG
c 31 R14_ESBCN
c 32 R14_ITGIT
c 33 R14_LKCMB
c 34 R14_MAPTM
c 35 R14_SAJED
c 36 R15_AUBNE
c 37 R15_CLSAI
c 38 R15_CNSHA
c 39 R15_HKHKG
c 40 R15_JPYOK
c 41 R15_KRPUS
c 42 R15_MYTPP
c 43 R15_NZAKL
c 44 R15_SGSIN
c 45 R16_CNSHA
c 46 R16_HKHKG
c 47 R16_JPYOK
c 48 R16_KRPUS
c 49 R17_EGPSD
c 50 R17_ITGIT
c 51 R17_USCHS
c 52 R18_CNSHA
c 53 R18_CNTAO
c 54 R18_CNYTN
c 55 R18_HKHKG
c 56 R18_MYPKG
c 57 R18_MYTPP
c 58 R18_OMSLL
c 59 R19_CAMTR
c 60 R19_DEBRV
c 61 R19_DEHAM
c 62 R19_ESALG
c 63 R19_NLRTM
c 64 R19_USCHS
c 65 R19_USEWR
c 66 R1_CNYTN
c 67 R1_HKHKG
c 68 R1_USLAX
c 69 R20_AEJEA
c 70 R20_EGPSD
c 71 R20_OMSLL
c 72 R20_SAJED
c 73 R21_AEJEA
c 74 R21_CNSHA
c 75 R21_EGPSD
c 76 R21_SAJED
c 77 R22_BEZEE
c 78 R22_MAPTM
c 79 R22_NLRTM
c 80 R23_INNSA
c 81 R23_MYTPP
c 82 R24_ITGIT
c 83 R24_SAJED
c 84 R24_TRAMB
c 85 R25_ITGIT
c 86 R25_NGAPP
c 87 R26_DEBRV
c 88 R26_ESALG
c 89 R27_AEJEA
c 90 R27_INNSA
c 91 R27_LKCMB
c 92 R27_OMSLL
c 93 R27_PKBQM
c 94 R27_SAJED
c 95 R28_BEANR
c 96 R28_NLRTM
c 97 R29_KEMBA
c 98 R29_ZADUR
c 99 R2_BEZEE
c 100 R2_CNSHA
c 101 R2_DEBRV
c 102 R2_GBFXT
c 103 R2_ITGIT
c 104 R2_LKCMB
c 105 R2_MYTPP
c 106 R2_NLRTM
c 107 R30_ECGYE
c 108 R30_PABLB
c 109 R30_PAMIT
c 110 R31_ECGYE
c 111 R31_PABLB
c 112 R32_BRSSZ
c 113 R32_UYMVD
c 114 R33_HKHKG
c 115 R33_KRPUS
c 116 R33_MYTPP
c 117 R34_ESBCN
c 118 R34_ITGIT
c 119 R34_TRAMB
c 120 R35_AOLAD
c 121 R35_ESALG
c 122 R35_GHTKD
c 123 R35_ITGIT
c 124 R35_MAPTM
c 125 R35_NGAPP
c 126 R3_AEJEA
c 127 R3_CNSHA
c 128 R3_CNYTN
c 129 R3_HKHKG
c 130 R3_ITGIT
c 131 R3_JPYOK
c 132 R3_KRPUS
c 133 R3_LKCMB
c 134 R3_MYTPP
c 135 R4_DEBRV
c 136 R4_EGPSD
c 137 R4_ESALG
c 138 R4_HKHKG
c 139 R4_ITGIT
c 140 R4_MYTPP
c 141 R4_NLRTM
c 142 R5_CAVAN
c 143 R5_CNSHA
c 144 R5_JPYOK
c 145 R5_USLAX
c 146 R6_AEJEA
c 147 R6_DEBRV
c 148 R6_EGPSD
c 149 R6_ITGIT
c 150 R6_NLRTM
c 151 R7_CNYTN
c 152 R7_HKHKG
c 153 R7_NGAPP
c 154 R7_NLRTM
c 155 R7_USCHS
c 156 R8_BRSSZ
c 157 R8_DEBRV
c 158 R8_NLRTM
c 159 R8_PAMIT
c 160 R8_USCHS
c 161 R8_USMIA
c 162 R9_AEJEA
c 163 R9_MYTPP
c 164 R9_ZADUR
c 165 O_BEANR
c 166 O_USMIA
c 167 O_GBFXT
c 168 O_USLAX
c 169 O_TRAMB
c 170 O_MYTPP
c 171 O_ITGIT
c 172 O_AOLAD
c 173 O_EGPSD
c 174 O_NZAKL
c 175 O_DEBRV
c 176 O_DEHAM
c 177 O_ZADUR
c 178 O_NGAPP
c 179 O_GHTKD
c 180 O_AEJEA
c 181 O_MAPTM
c 182 O_SGSIN
c 183 O_PAMIT
c 184 O_ECGYE
c 185 O_CNTAO
c 186 O_CNSHA
c 187 O_CLSAI
c 188 O_KEMBA
c 189 O_ESALG
c 190 O_NLRTM
c 191 O_JPYOK
c 192 O_USEWR
c 193 O_KRPUS
c 194 O_ESBCN
c 195 O_CAVAN
c 196 O_UYMVD
c 197 O_TWKHH
c 198 O_PABLB
c 199 O_CNYTN
c 200 O_LKCMB
c 201 O_CAMTR
c 202 O_HKHKG
c 203 O_MYPKG
c 204 O_BRSSZ
c 205 O_BEZEE
c 206 O_INNSA
c 207 O_USCHS
c 208 O_SAJED
c 209 O_AUBNE
c 210 O_OMSLL
c 211 O_PKBQM
c 212 D_BEZEE
c 213 D_BEANR
c 214 D_ITGIT
c 215 D_EGPSD
c 216 D_GHTKD
c 217 D_CNTAO
c 218 D_PAMIT
c 219 D_SGSIN
c 220 D_AUBNE
c 221 D_HKHKG
c 222 D_GBFXT
c 223 D_MYPKG
c 224 D_CNSHA
c 225 D_CLSAI
c 226 D_USMIA
c 227 D_NZAKL
c 228 D_DEHAM
c 229 D_TRAMB
c 230 D_AEJEA
c 231 D_PABLB
c 232 D_ZADUR
c 233 D_JPYOK
c 234 D_CAVAN
c 235 D_USEWR
c 236 D_CAMTR
c 237 D_UYMVD
c 238 D_NGAPP
c 239 D_TWKHH
c 240 D_DEBRV
c 241 D_SAJED
c 242 D_KEMBA
c 243 D_PKBQM
c 244 D_ESALG
c 245 D_KRPUS
c 246 D_CNYTN
c 247 D_AOLAD
c 248 D_USCHS
c 249 D_LKCMB
c 250 D_ESBCN
c 251 D_MYTPP
c 252 D_BRSSZ
c 253 D_USLAX
c 254 D_INNSA
c 255 D_MAPTM
c 256 D_OMSLL
c 257 D_NLRTM
c 258 D_ECGYE
c
c problem vertices edges commodities resources
p rcmcf 259 1300 1764 1
c
c origin destination demand resource_limits
k 172 230 1 4700
k 209 230 82 2600
k 165 230 66 2300
k 205 230 86 2800
k 204 230 394 3600
k 201 230 39 3900
k 195 230 91 4200
k 187 230 4 4600
k 186 230 430 2500
k 185 230 323 2600
k 199 230 316 2000
k 175 230 387 2200
k 176 230 11 2700
k 184 230 32 4300
k 173 230 210 1100
k 189 230 60 1800
k 194 230 34 2500
k 167 230 156 2500
k 179 230 30 3100
k 202 230 327 1900
k 206 230 169 600
k 171 230 410 1700
k 191 230 355 2900
k 188 230 83 1700
k 193 230 246 3000
k 200 230 62 1000
k 181 230 6 2300
k 203 230 43 1500
