c multi commodity flow
c planar1000
c
c problem vertices edges commodities
p mcf 1000 5200 20026
c
c origin destination demand
k 0 7 7
k 0 84 11
k 0 106 4
k 0 197 2
k 0 276 11
k 0 346 9
k 0 375 2
k 0 387 9
k 0 512 15
k 0 519 15
k 0 750 10
k 0 762 9
k 0 814 6
k 0 819 4
k 0 860 5
k 0 906 4
k 0 930 2
k 0 955 3
k 0 986 15
k 1 22 7
k 1 118 3
k 1 146 5
k 1 160 8
k 1 214 13
k 1 232 7
k 1 265 8
k 1 301 15
k 1 438 10
k 1 515 10
k 1 644 7
k 1 752 2
k 1 809 13
k 1 850 11
k 1 905 5
k 1 949 5
k 1 965 3
k 2 58 3
k 2 134 8
k 2 154 12
k 2 170 2
k 2 172 3
k 2 234 9
k 2 267 13
k 2 268 15
k 2 304 6
k 2 340 11
k 2 373 9
k 2 397 12
k 2 398 2
k 2 426 13
k 2 465 15
k 2 467 9
k 2 486 15
k 2 515 8
k 2 521 7
k 2 544 5
k 2 639 8
k 2 661 9
k 2 711 4
k 2 791 15
k 2 827 11
k 2 862 8
k 2 938 13
k 2 977 3
k 2 987 7
k 2 994 8
k 3 52 10
k 3 102 10
k 3 243 3
k 3 264 13
k 3 336 14
k 3 381 5
k 3 422 13
k 3 490 8
k 3 531 2
k 3 550 15
k 3 555 2
k 3 573 15
k 3 697 13
k 3 703 15
k 3 710 10
k 3 801 11
k 3 821 2
k 3 836 12
k 3 837 8
k 3 846 12
k 3 868 8
k 3 937 12
k 3 955 7
k 4 114 2
k 4 263 5
k 4 338 5
k 4 351 5
k 4 410 15
k 4 490 5
k 4 570 7
k 4 592 12
k 4 657 3
k 4 701 5
k 4 736 15
k 4 790 15
k 4 972 14
k 5 49 11
k 5 50 14
k 5 58 13
k 5 156 11
k 5 202 6
k 5 315 14
k 5 316 13
k 5 323 3
k 5 342 4
k 5 446 9
k 5 474 10
k 5 590 2
k 5 597 14
k 5 692 14
k 5 717 2
k 5 771 8
k 5 778 12
k 5 883 2
k 5 895 3
k 5 952 12
k 5 974 15
k 6 69 12
k 6 141 15
k 6 188 4
k 6 227 5
k 6 259 9
k 6 268 11
k 6 297 5
k 6 396 14
k 6 416 3
k 6 495 8
k 6 497 7
k 6 528 15
k 6 599 11
k 6 638 10
k 6 653 15
k 6 666 7
k 6 717 10
k 6 726 11
k 6 784 5
k 6 811 5
k 6 864 13
k 6 926 4
k 6 930 12
k 7 31 7
k 7 69 7
k 7 138 10
k 7 305 9
k 7 348 3
k 7 355 7
k 7 377 9
k 7 380 4
k 7 406 7
k 7 448 2
k 7 458 11
k 7 568 2
k 7 645 4
k 7 690 14
k 7 736 3
k 7 816 8
k 8 25 12
k 8 63 12
k 8 151 6
k 8 208 13
k 8 425 11
k 8 426 11
k 8 513 8
k 8 516 15
k 8 526 2
k 8 566 10
k 8 593 11
k 8 599 9
k 8 603 11
k 8 657 14
k 8 720 14
k 8 723 10
k 8 755 12
k 8 854 4
k 8 871 10
k 8 890 13
k 8 895 9
k 8 991 13
k 8 996 6
k 9 0 9
k 9 89 5
k 9 227 15
k 9 262 11
k 9 275 12
k 9 279 11
k 9 306 13
k 9 315 6
k 9 344 8
k 9 364 5
k 9 490 3
k 9 551 11
k 9 592 9
k 9 619 9
k 9 638 14
k 9 641 4
k 9 661 13
k 9 694 3
k 9 714 8
k 9 888 4
k 9 949 6
k 9 989 5
k 10 88 15
k 10 126 2
k 10 156 5
k 10 166 11
k 10 187 13
k 10 198 12
k 10 261 8
k 10 312 5
k 10 363 5
k 10 376 8
k 10 561 14
k 10 625 15
k 10 809 14
k 10 847 10
k 10 887 15
k 10 938 4
k 11 4 13
k 11 102 6
k 11 179 4
k 11 193 15
k 11 246 6
k 11 258 4
k 11 329 15
k 11 332 2
k 11 382 12
k 11 396 14
k 11 513 11
k 11 561 10
k 11 728 11
k 11 822 12
k 11 928 15
k 12 22 12
k 12 135 12
k 12 138 8
k 12 178 9
k 12 231 2
k 12 263 2
k 12 298 15
k 12 336 13
k 12 370 12
k 12 386 2
k 12 410 13
k 12 469 5
k 12 481 3
k 12 489 8
k 12 623 5
k 12 660 4
k 12 711 11
k 12 738 9
k 12 764 13
k 12 771 6
k 12 827 3
k 12 918 6
k 12 944 4
k 13 5 11
k 13 49 14
k 13 100 3
k 13 187 5
k 13 212 13
k 13 229 3
k 13 349 8
k 13 517 2
k 13 568 3
k 13 644 14
k 13 800 11
k 13 818 6
k 13 829 9
k 13 838 5
k 13 914 13
k 13 951 5
k 14 11 2
k 14 140 10
k 14 262 8
k 14 297 5
k 14 309 10
k 14 314 5
k 14 372 2
k 14 380 15
k 14 404 10
k 14 514 11
k 14 562 2
k 14 599 15
k 14 756 9
k 14 803 4
k 14 805 2
k 14 817 6
k 14 951 11
k 15 159 5
k 15 226 11
k 15 252 12
k 15 284 14
k 15 322 14
k 15 512 3
k 15 617 14
k 15 627 6
k 15 628 7
k 15 648 7
k 15 667 12
k 15 681 9
k 15 786 10
k 15 925 5
k 15 936 14
k 15 989 15
k 16 131 14
k 16 133 14
k 16 147 12
k 16 169 12
k 16 198 2
k 16 254 10
k 16 264 2
k 16 376 2
k 16 401 9
k 16 456 9
k 16 504 6
k 16 507 8
k 16 538 13
k 16 542 6
k 16 552 12
k 16 634 6
k 16 705 10
k 16 729 2
k 16 762 12
k 16 764 13
k 16 765 4
k 16 819 13
k 16 850 8
k 16 945 8
k 17 39 12
k 17 107 12
k 17 249 7
k 17 265 10
k 17 345 10
k 17 355 7
k 17 376 6
k 17 403 3
k 17 419 13
k 17 423 14
k 17 429 5
k 17 476 3
k 17 486 8
k 17 503 5
k 17 559 13
k 17 562 4
k 17 570 11
k 17 639 4
k 17 693 5
k 17 703 15
k 17 804 14
k 17 919 6
k 17 932 8
k 17 947 13
k 17 960 13
k 18 25 10
k 18 242 11
k 18 320 6
k 18 375 13
k 18 417 7
k 18 579 5
k 18 652 10
k 18 728 5
k 18 733 11
k 18 930 11
k 18 994 14
k 19 6 4
k 19 53 7
k 19 61 4
k 19 97 5
k 19 134 14
k 19 165 3
k 19 266 15
k 19 285 2
k 19 351 11
k 19 391 9
k 19 450 6
k 19 500 5
k 19 504 10
k 19 515 2
k 19 568 2
k 19 626 2
k 19 669 14
k 19 903 9
k 19 974 12
k 20 21 5
k 20 23 7
k 20 53 6
k 20 93 11
k 20 161 4
k 20 222 8
k 20 318 12
k 20 398 13
k 20 404 4
k 20 423 2
k 20 529 2
k 20 533 12
k 20 552 7
k 20 573 8
k 20 598 2
k 20 626 6
k 20 692 8
k 20 726 12
k 20 750 9
k 20 799 12
k 20 813 4
k 20 882 9
k 20 885 11
k 21 6 13
k 21 13 5
k 21 20 15
k 21 30 7
k 21 107 5
k 21 131 12
k 21 207 3
k 21 211 11
k 21 259 7
k 21 516 9
k 21 543 10
k 21 558 10
k 21 665 2
k 21 678 2
k 21 749 14
k 21 810 12
k 21 828 15
k 21 832 10
k 21 864 3
k 21 866 8
k 21 891 6
k 21 997 5
k 22 25 11
k 22 27 15
k 22 63 6
k 22 180 5
k 22 184 15
k 22 191 10
k 22 204 11
k 22 211 7
k 22 267 14
k 22 278 9
k 22 339 8
k 22 605 4
k 22 629 13
k 22 631 12
k 22 727 13
k 22 738 11
k 22 939 2
k 23 43 5
k 23 51 8
k 23 93 12
k 23 99 8
k 23 112 12
k 23 119 10
k 23 124 7
k 23 221 2
k 23 374 5
k 23 423 6
k 23 424 10
k 23 428 10
k 23 474 10
k 23 482 11
k 23 539 9
k 23 571 7
k 23 723 2
k 23 772 15
k 23 849 7
k 23 868 15
k 23 892 5
k 23 965 5
