c resource constrained multi commodity flow
c EuropeAsia
c linerlib_networkname EuropeAsia-All-2
c transhipmenttype complete
c
c id type|name
c 0 R0_CNSHA
c 1 R0_CNYTN
c 2 R0_ESALG
c 3 R0_ESBCN
c 4 R10_EGPSD
c 5 R10_ESALG
c 6 R10_GRPIR
c 7 R10_ILASH
c 8 R10_LBBEY
c 9 R11_CNSHA
c 10 R11_CNTAO
c 11 R11_ESALG
c 12 R12_CNDLC
c 13 R12_CNSHA
c 14 R12_CNYTN
c 15 R12_HKHKG
c 16 R12_JPHKT
c 17 R12_JPUKB
c 18 R12_KRPUS
c 19 R12_TWKHH
c 20 R13_ESALG
c 21 R13_GRPIR
c 22 R13_TRAMB
c 23 R14_INNSA
c 24 R14_MYTPP
c 25 R15_CNYTN
c 26 R15_HKHKG
c 27 R15_INMAA
c 28 R15_MYPKG
c 29 R15_MYTPP
c 30 R15_THLCH
c 31 R16_AEJEA
c 32 R16_INNSA
c 33 R16_INPAV
c 34 R16_PKBQM
c 35 R16_SAJED
c 36 R17_CNDLC
c 37 R17_CNLYG
c 38 R17_CNSHA
c 39 R17_CNXMN
c 40 R17_TWKEL
c 41 R18_DEBRV
c 42 R18_FRLEH
c 43 R18_IEDUB
c 44 R19_ESALG
c 45 R19_ESBCN
c 46 R19_MAAGA
c 47 R19_MACAS
c 48 R1_BEZEE
c 49 R1_CNYTN
c 50 R1_ESALG
c 51 R1_HKHKG
c 52 R1_MYTPP
c 53 R1_NLRTM
c 54 R20_DZALG
c 55 R20_DZBJA
c 56 R20_ESALG
c 57 R20_ILHFA
c 58 R20_SYLTK
c 59 R20_TRMER
c 60 R21_BEANR
c 61 R21_ESALG
c 62 R21_FRLEH
c 63 R21_GBFXT
c 64 R22_ESALG
c 65 R22_GBSOU
c 66 R22_MACAS
c 67 R22_NLRTM
c 68 R23_IDJKT
c 69 R23_MYTPP
c 70 R23_SGSIN
c 71 R23_THLCH
c 72 R24_INNSA
c 73 R24_PKBQM
c 74 R25_AEJEA
c 75 R25_PKBQM
c 76 R25_SAJED
c 77 R25_YEADE
c 78 R26_IDSUB
c 79 R26_MYTPP
c 80 R26_SGSIN
c 81 R26_VNSGN
c 82 R27_EGALY
c 83 R27_ESALG
c 84 R27_GRSKG
c 85 R27_ITGOA
c 86 R27_ITSAL
c 87 R27_PTLEI
c 88 R27_TNTUN
c 89 R27_TRIZM
c 90 R28_CNYTN
c 91 R28_HKHKG
c 92 R28_PHMNL
c 93 R28_TWKHH
c 94 R28_VNHPH
c 95 R29_BDCGP
c 96 R29_INCOK
c 97 R29_LKCMB
c 98 R2_CNYTN
c 99 R2_DEBRV
c 100 R2_ESALG
c 101 R2_GBFXT
c 102 R2_HKHKG
c 103 R3_AEJEA
c 104 R3_CNYTN
c 105 R3_EGPSD
c 106 R3_ESALG
c 107 R3_MYTPP
c 108 R3_SAJED
c 109 R3_SGSIN
c 110 R4_AEJEA
c 111 R4_CNSHA
c 112 R4_CNYTN
c 113 R4_HKHKG
c 114 R4_MYTPP
c 115 R4_SGSIN
c 116 R5_CNSHA
c 117 R5_JPNGO
c 118 R5_JPSMZ
c 119 R5_JPTYO
c 120 R5_JPYOK
c 121 R5_KRPUS
c 122 R5_LKCMB
c 123 R5_MYPKG
c 124 R5_MYTPP
c 125 R6_CNXMN
c 126 R6_CNYTN
c 127 R6_DEBRV
c 128 R6_ESALG
c 129 R6_GBSOU
c 130 R6_IRBND
c 131 R6_OMSLL
c 132 R6_RULED
c 133 R6_SADMM
c 134 R6_SAJED
c 135 R6_TWKHH
c 136 R7_DEBRV
c 137 R7_GBSOU
c 138 R7_HKHKG
c 139 R7_NLRTM
c 140 R8_BEZEE
c 141 R8_DEHAM
c 142 R8_DKAAR
c 143 R8_FRDKK
c 144 R8_GBFXT
