c resource constrained multi commodity flow
c EuropeAsia
c linerlib_networkname EuropeAsia_pid_26674_12
c transhipmenttype complete
c
c id type|name
c 0 R0_DZALG
c 1 R0_ESALG
c 2 R0_ESBCN
c 3 R0_ITGIT
c 4 R0_ITSAL
c 5 R0_TNSFA
c 6 R0_TNTUN
c 7 R0_TRIZM
c 8 R10_AEJEA
c 9 R10_INNSA
c 10 R10_INPAV
c 11 R10_KWSWK
c 12 R10_PKBQM
c 13 R10_SADMM
c 14 R11_DEBRV
c 15 R11_FIRAU
c 16 R11_PLGDY
c 17 R11_RUKGD
c 18 R11_RULED
c 19 R12_DZALG
c 20 R12_DZORN
c 21 R12_ESAGP
c 22 R12_ESALG
c 23 R12_ESVGO
c 24 R12_PTLEI
c 25 R13_EGALY
c 26 R13_SAJED
c 27 R14_DZBJA
c 28 R14_ESALG
c 29 R14_ITGIT
c 30 R14_MAAGA
c 31 R14_MACAS
c 32 R14_TNTUN
c 33 R15_IDSRG
c 34 R15_IDSUB
c 35 R15_MYPKG
c 36 R15_MYTPP
c 37 R15_SGSIN
c 38 R15_THLCH
c 39 R15_TWKHH
c 40 R16_AEJEA
c 41 R16_INNSA
c 42 R16_INPAV
c 43 R16_IRBND
c 44 R16_LKCMB
c 45 R16_PKBQM
c 46 R16_PKKHI
c 47 R16_SADMM
c 48 R16_SAJBI
c 49 R17_MYPKG
c 50 R17_THLCH
c 51 R18_GRPIR
c 52 R18_LBBEY
c 53 R18_SAJED
c 54 R18_SIKOP
c 55 R18_SYLTK
c 56 R18_TRAMB
c 57 R18_UAODS
c 58 R19_CYLMS
c 59 R19_EGDAM
c 60 R19_EGPSD
c 61 R19_LBBEY
c 62 R19_SAJED
c 63 R19_TRMER
c 64 R1_BGVAR
c 65 R1_EGPSD
c 66 R1_GRSKG
c 67 R1_ILHFA
c 68 R1_ITTRS
c 69 R1_TRAMB
c 70 R20_AEJEA
c 71 R20_EGPSD
c 72 R20_INMAA
c 73 R20_INPAV
c 74 R20_JOAQB
c 75 R20_LKCMB
c 76 R20_MYTPP
c 77 R20_SADMM
c 78 R20_SAJED
c 79 R21_JPHKT
c 80 R21_JPUKB
c 81 R21_KRPUS
c 82 R21_MYPKG
c 83 R21_MYTPP
c 84 R21_TWKHH
c 85 R22_CNTAO
c 86 R22_JPHKT
c 87 R22_JPTYO
c 88 R22_JPYOK
c 89 R22_LKCMB
c 90 R22_MYPKG
c 91 R22_MYTPP
c 92 R22_SGSIN
c 93 R22_TWKHH
c 94 R23_BEANR
c 95 R23_DEBRV
c 96 R23_DEHAM
c 97 R23_ESALG
c 98 R23_FRFOS
c 99 R23_FRLEH
c 100 R23_GBSOU
c 101 R23_GRPIR
c 102 R23_ITGIT
c 103 R23_SAJED
c 104 R24_AEJEA
c 105 R24_ESALG
c 106 R24_INCOK
c 107 R24_INMAA
c 108 R24_JOAQB
c 109 R24_LKCMB
c 110 R24_SADMM
c 111 R24_SAJED
c 112 R25_DKAAR
c 113 R25_ITGIT
c 114 R25_NLRTM
c 115 R25_RULED
c 116 R26_GBSOU
c 117 R26_NLRTM
c 118 R26_SAJED
c 119 R26_SEGOT
c 120 R27_CNYTN
c 121 R27_JPSMZ
c 122 R27_JPYOK
c 123 R27_KRPUS
c 124 R27_MYPKG
c 125 R27_MYTPP
c 126 R27_OMSLL
c 127 R27_SAJED
c 128 R27_SGSIN
c 129 R28_AEJEA
c 130 R28_CNSHA
c 131 R28_CNYTN
c 132 R28_HKHKG
c 133 R28_JPNGO
c 134 R28_KRPUS
c 135 R28_MYPKG
c 136 R28_MYTPP
c 137 R28_SGSIN
c 138 R29_AEJEA
c 139 R29_ESALG
c 140 R29_ESBCN
c 141 R29_SAJED
c 142 R2_CNDLC
c 143 R2_CNFOC
c 144 R2_TWKEL
c 145 R2_TWKHH
c 146 R2_VNHPH
c 147 R30_DEBRV
c 148 R30_GBFXT
c 149 R30_MYTPP
c 150 R30_NLRTM
c 151 R31_BEZEE
c 152 R31_FRDKK
c 153 R31_GBFXT
c 154 R31_SAJED
c 155 R32_DEBRV
c 156 R32_ESALG
c 157 R32_ESBCN
c 158 R32_ESVLC
c 159 R32_ITGIT
c 160 R32_MYPKG
c 161 R32_MYTPP
c 162 R32_NLRTM
c 163 R33_CNDLC
c 164 R33_CNXMN
c 165 R33_HKHKG
c 166 R33_MYTPP
c 167 R33_SGSIN
c 168 R33_TWKHH
c 169 R34_AEJEA
c 170 R34_CNSHA
c 171 R34_CNYTN
c 172 R34_MYTPP
c 173 R34_SADMM
c 174 R34_SAJED
c 175 R34_TWKHH
c 176 R35_EGPSD
c 177 R35_ESALG
c 178 R35_ESVGO
c 179 R35_GBFXT
c 180 R35_ITGIT
c 181 R35_ITGOA
c 182 R35_MAPTM
c 183 R35_NOSVG
c 184 R36_CNYTN
c 185 R36_HKHKG
c 186 R36_MYPKG
c 187 R36_MYTPP
c 188 R36_OMSLL
c 189 R36_SAJED
c 190 R37_EGPSD
c 191 R37_ILHFA
c 192 R37_SAJED
c 193 R37_TRAMB
c 194 R37_TRMER
c 195 R37_YEADE
c 196 R38_CNSHA
c 197 R38_CNTAO
c 198 R38_JPHKT
c 199 R38_JPYOK
c 200 R38_MYTPP
c 201 R38_SGSIN
c 202 R38_TWKHH
c 203 R39_EGPSD
c 204 R39_ESALG
c 205 R39_ILASH
c 206 R39_ITGIT
c 207 R39_SAJED
c 208 R3_EGPSD
c 209 R3_GEPTI
c 210 R3_TRAMB
c 211 R4_MYPKG
c 212 R4_PHGES
c 213 R4_SGSIN
c 214 R4_THLCH
c 215 R4_TWKHH
c 216 R4_VNSGN
c 217 R5_TWKHH
c 218 R5_VNDAD
c 219 R5_VNSGN
c 220 R6_PHMNL
c 221 R6_TWKHH
c 222 R7_BDCGP
c 223 R7_IDJKT
c 224 R7_MYTPP
c 225 R7_SGSIN
c 226 R7_THLCH
c 227 R8_IDJKT
c 228 R8_MYPEN
c 229 R8_MYPKG
c 230 R8_MYTPP
c 231 R8_SGSIN
c 232 R9_DEBRV
c 233 R9_FIKTK
c 234 R9_FRBES
c 235 R9_GBABD
c 236 R9_IEDUB
c 237 R9_NOAES
c 238 R9_NOBGO
c 239 R9_NOSVG
c 240 R9_RUKGD
c 241 R9_SEGOT
c 242 O_VNDAD
c 243 O_GBFXT
c 244 O_TRAMB
c 245 O_FIKTK
c 246 O_INCOK
c 247 O_ITGIT
c 248 O_RULED
c 249 O_DEBRV
c 250 O_MACAS
c 251 O_JPHKT
c 252 O_ITGOA
c 253 O_YEADE
c 254 O_KWSWK
c 255 O_BDCGP
c 256 O_INPAV
c 257 O_SIKOP
c 258 O_CNXMN
c 259 O_CNYTN
c 260 O_LKCMB
c 261 O_FRLEH
c 262 O_DZORN
c 263 O_MAAGA
c 264 O_ITTRS
c 265 O_SAJED
c 266 O_EGALY
c 267 O_BEANR
c 268 O_SADMM
c 269 O_PKKHI
c 270 O_BGVAR
c 271 O_TNTUN
c 272 O_IRBND
c 273 O_EGPSD
c 274 O_DZBJA
c 275 O_MAPTM
c 276 O_TWKEL
c 277 O_CNTAO
c 278 O_CNSHA
c 279 O_JPTYO
c 280 O_EGDAM
c 281 O_JPSMZ
c 282 O_MYPKG
c 283 O_FRFOS
c 284 O_PHMNL
c 285 O_SEGOT
c 286 O_DKAAR
c 287 O_NOSVG
c 288 O_MYPEN
c 289 O_ESVLC
c 290 O_ESAGP
c 291 O_NOBGO
c 292 O_PTLEI
c 293 O_CYLMS
c 294 O_TNSFA
c 295 O_TRMER
c 296 O_DEHAM
c 297 O_GRPIR
c 298 O_JOAQB
c 299 O_JPNGO
c 300 O_SGSIN
c 301 O_TRIZM
c 302 O_UAODS
c 303 O_IDSUB
c 304 O_LBBEY
c 305 O_ESALG
