c resource constrained multi commodity flow
c EuropeAsia
c linerlib_networkname EuropeAsia_pid_26999_11_low_best
c transhipmenttype complete
c
c id type|name
c 0 R0_AEJEA
c 1 R0_BGVAR
c 2 R0_EGPSD
c 3 R0_GEPTI
c 4 R0_INCOK
c 5 R0_INNSA
c 6 R0_INPAV
c 7 R0_KWSWK
c 8 R0_OMSLL
c 9 R0_PKBQM
c 10 R0_SADMM
c 11 R0_SAJED
c 12 R0_SIKOP
c 13 R0_TRAMB
c 14 R0_TRIZM
c 15 R0_UAODS
c 16 R0_YEADE
c 17 R10_EGALY
c 18 R10_EGPSD
c 19 R10_ILHFA
c 20 R10_SAJED
c 21 R10_TNTUN
c 22 R10_TRAMB
c 23 R11_ESALG
c 24 R11_ESVGO
c 25 R11_ITGIT
c 26 R11_MAAGA
c 27 R11_MACAS
c 28 R11_PTLEI
c 29 R11_TNTUN
c 30 R12_CYLMS
c 31 R12_EGDAM
c 32 R12_EGPSD
c 33 R12_ITGIT
c 34 R12_ITTRS
c 35 R12_JOAQB
c 36 R12_LBBEY
c 37 R12_SAJED
c 38 R13_AEJEA
c 39 R13_INMAA
c 40 R13_INPAV
c 41 R13_IRBND
c 42 R13_LKCMB
c 43 R13_MYTPP
c 44 R13_OMSLL
c 45 R13_SADMM
c 46 R13_SAJBI
c 47 R13_SAJED
c 48 R14_AEJEA
c 49 R14_BEZEE
c 50 R14_DKAAR
c 51 R14_ESALG
c 52 R14_FRDKK
c 53 R14_FRLEH
c 54 R14_GBFXT
c 55 R14_GRPIR
c 56 R14_ILASH
c 57 R14_IRBND
c 58 R14_ITGIT
c 59 R14_ITGOA
c 60 R14_LKCMB
c 61 R14_NLRTM
c 62 R14_SAJED
c 63 R15_AEJEA
c 64 R15_EGPSD
c 65 R15_ESALG
c 66 R15_INCOK
c 67 R15_TRMER
c 68 R16_CNDLC
c 69 R16_CNTAO
c 70 R16_CNXMN
c 71 R16_MYTPP
c 72 R17_CNFOC
c 73 R17_CNTAO
c 74 R17_HKHKG
c 75 R17_INCOK
c 76 R17_JPHKT
c 77 R17_JPUKB
c 78 R17_KRPUS
c 79 R17_LKCMB
c 80 R17_MYPKG
c 81 R17_MYTPP
c 82 R17_SGSIN
c 83 R17_TWKHH
c 84 R18_BEZEE
c 85 R18_CNYTN
c 86 R18_DEBRV
c 87 R18_ESALG
c 88 R18_GBFXT
c 89 R18_HKHKG
c 90 R18_MYPKG
c 91 R18_MYTPP
c 92 R18_NLRTM
c 93 R18_SGSIN
c 94 R19_DEBRV
c 95 R19_EGPSD
c 96 R19_ESVLC
c 97 R19_ITGIT
c 98 R19_NLRTM
c 99 R1_ESALG
c 100 R1_GRSKG
c 101 R1_MACAS
c 102 R1_TNTUN
c 103 R1_TRAMB
c 104 R20_AEJEA
c 105 R20_CNYTN
c 106 R20_EGPSD
c 107 R20_ESALG
c 108 R20_HKHKG
c 109 R20_JPNGO
c 110 R20_JPTYO
c 111 R20_JPYOK
c 112 R20_KRPUS
c 113 R20_MYPKG
c 114 R20_MYTPP
c 115 R20_OMSLL
c 116 R20_SGSIN
c 117 R21_BEZEE
c 118 R21_DEBRV
c 119 R21_ESALG
c 120 R21_NLRTM
c 121 R22_AEJEA
c 122 R22_CNSHA
c 123 R22_KRPUS
c 124 R22_MYPKG
c 125 R22_MYTPP
c 126 R22_SAJED
c 127 R22_SGSIN
c 128 R23_CNSHA
c 129 R23_CNTAO
c 130 R23_ESALG
c 131 R23_KRPUS
c 132 R23_LKCMB
c 133 R23_SGSIN
c 134 R24_ESALG
c 135 R24_ESBCN
c 136 R24_ESVLC
c 137 R24_SAJED
c 138 R25_HKHKG
c 139 R25_ITGIT
c 140 R25_MYTPP
c 141 R26_DEHAM
c 142 R26_ESALG
c 143 R26_ESTAR
c 144 R26_GBFXT
c 145 R26_ITGIT
c 146 R26_ITGOA
c 147 R26_MAPTM
c 148 R2_BEANR
c 149 R2_BEZEE
c 150 R2_DEBRV
c 151 R2_GBSOU
c 152 R2_NOBGO
c 153 R2_RUKGD
c 154 R2_SEGOT
c 155 R3_DEBRV
c 156 R3_ESALG
c 157 R3_IEDUB
c 158 R3_MACAS
c 159 R3_SEGOT
c 160 R4_DZALG
c 161 R4_DZBJA
c 162 R4_DZORN
c 163 R4_DZSKI
c 164 R4_ESALG
c 165 R4_FRFOS
c 166 R4_ITGIT
c 167 R4_ITSAL
c 168 R5_HKHKG
c 169 R5_IDJKT
c 170 R5_MYTPP
c 171 R5_PHGES
c 172 R5_PHMNL
c 173 R5_THLCH
c 174 R5_TWKHH
c 175 R5_VNSGN
c 176 R6_DEBRV
c 177 R6_FIKTK
c 178 R6_GBABD
c 179 R6_NOSVG
c 180 R6_PLGDY
c 181 R6_RULED
c 182 R7_IDSRG
c 183 R7_IDSUB
c 184 R7_MYPKG
c 185 R7_MYTPP
c 186 R7_SGSIN
c 187 R7_THLCH
c 188 R7_TWKHH
c 189 R8_MYTPP
c 190 R8_PHMNL
c 191 R8_TWKEL
c 192 R8_TWKHH
c 193 R8_VNHPH
c 194 R9_BDCGP
c 195 R9_INMAA
c 196 R9_MYPEN
c 197 R9_MYPKG
c 198 R9_MYTPP
c 199 R9_THLCH
c 200 O_AEJEA
c 201 O_BDCGP
c 202 O_BEANR
c 203 O_BEZEE
c 204 O_BGVAR
c 205 O_CNDLC
c 206 O_CNFOC
c 207 O_CNSHA
c 208 O_CNTAO
c 209 O_CNXMN
c 210 O_CNYTN
c 211 O_CYLMS
c 212 O_DEBRV
c 213 O_DEHAM
c 214 O_DKAAR
c 215 O_DZALG
c 216 O_DZBJA
c 217 O_DZORN
c 218 O_EGALY
c 219 O_EGDAM
c 220 O_EGPSD
c 221 O_ESALG
c 222 O_ESBCN
c 223 O_ESTAR
c 224 O_ESVGO
c 225 O_ESVLC
c 226 O_FIKTK
c 227 O_FRDKK
c 228 O_FRFOS
c 229 O_FRLEH
c 230 O_GBABD
c 231 O_GBFXT
c 232 O_GBSOU
c 233 O_GEPTI
c 234 O_GRPIR
c 235 O_GRSKG
c 236 O_HKHKG
c 237 O_IDJKT
c 238 O_IDSRG
c 239 O_IDSUB
c 240 O_IEDUB
c 241 O_ILASH
c 242 O_ILHFA
c 243 O_INCOK
c 244 O_INMAA
c 245 O_INNSA
c 246 O_INPAV
c 247 O_IRBND
c 248 O_ITGIT
c 249 O_ITGOA
c 250 O_ITSAL
c 251 O_ITTRS
c 252 O_JOAQB
c 253 O_JPHKT
c 254 O_JPNGO
c 255 O_JPTYO
c 256 O_JPUKB
c 257 O_JPYOK
c 258 O_KRPUS
c 259 O_KWSWK
c 260 O_LBBEY
c 261 O_LKCMB
c 262 O_MAAGA
c 263 O_MACAS
c 264 O_MAPTM
c 265 O_MYPEN
c 266 O_MYPKG
c 267 O_MYTPP
c 268 O_NLRTM
c 269 O_NOBGO
c 270 O_NOSVG
c 271 O_OMSLL
c 272 O_PHGES
c 273 O_PHMNL
c 274 O_PKBQM
c 275 O_PLGDY
c 276 O_PTLEI
c 277 O_RUKGD
c 278 O_RULED
c 279 O_SADMM
c 280 O_SAJBI
c 281 O_SAJED
c 282 O_SEGOT
c 283 O_SGSIN
c 284 O_SIKOP
c 285 O_THLCH
c 286 O_TNTUN
c 287 O_TRAMB
c 288 O_TRIZM
c 289 O_TRMER
c 290 O_TWKEL
c 291 O_TWKHH
c 292 O_UAODS
c 293 O_VNHPH
c 294 O_VNSGN
c 295 O_YEADE
c 296 D_AEJEA
c 297 D_BDCGP
c 298 D_BEANR
c 299 D_BEZEE
c 300 D_BGVAR
c 301 D_CNDLC
c 302 D_CNFOC
c 303 D_CNSHA
c 304 D_CNTAO
c 305 D_CNXMN
c 306 D_CNYTN
c 307 D_CYLMS
c 308 D_DEBRV
c 309 D_DEHAM
c 310 D_DKAAR
c 311 D_DZALG
c 312 D_DZBJA
c 313 D_DZORN
c 314 D_DZSKI
c 315 D_EGALY
c 316 D_EGDAM
c 317 D_EGPSD
c 318 D_ESALG
c 319 D_ESBCN
c 320 D_ESTAR
c 321 D_ESVGO
c 322 D_ESVLC
c 323 D_FIKTK
c 324 D_FRDKK
c 325 D_FRFOS
c 326 D_FRLEH
c 327 D_GBABD
c 328 D_GBFXT
c 329 D_GBSOU
c 330 D_GEPTI
c 331 D_GRPIR
c 332 D_GRSKG
c 333 D_HKHKG
c 334 D_IDJKT
c 335 D_IDSRG
c 336 D_IDSUB
c 337 D_IEDUB
c 338 D_ILASH
c 339 D_ILHFA
c 340 D_INCOK
c 341 D_INMAA
c 342 D_INNSA
c 343 D_INPAV
c 344 D_IRBND
c 345 D_ITGIT
c 346 D_ITGOA
c 347 D_ITSAL
c 348 D_ITTRS
c 349 D_JOAQB
c 350 D_JPHKT
c 351 D_JPNGO
c 352 D_JPTYO
c 353 D_JPUKB
c 354 D_JPYOK
c 355 D_KRPUS
c 356 D_KWSWK
c 357 D_LBBEY
c 358 D_LKCMB
c 359 D_MAAGA
c 360 D_MACAS
c 361 D_MAPTM
c 362 D_MYPEN
c 363 D_MYPKG
c 364 D_MYTPP
c 365 D_NLRTM
c 366 D_NOBGO
c 367 D_NOSVG
c 368 D_OMSLL
