c resource constrained multi commodity flow
c EuropeAsia
c linerlib_networkname EuropeAsia_pid_824_4_best_high
c
c id type|name
c 0 R0_DZAAE
c 1 R0_DZALG
c 2 R0_DZSKI
c 3 R0_ESALG
c 4 R0_ITGIT
c 5 R0_ITGOA
c 6 R0_ITSAL
c 7 R0_MAAGA
c 8 R0_MACAS
c 9 R0_SIKOP
c 10 R10_BGVAR
c 11 R10_EGALY
c 12 R10_EGDAM
c 13 R10_ITGIT
c 14 R10_SAJED
c 15 R10_TNSFA
c 16 R10_TRIZM
c 17 R11_AEJEA
c 18 R11_KWSWK
c 19 R12_DZBJA
c 20 R12_EGALY
c 21 R12_ESALG
c 22 R12_TNTUN
c 23 R12_TRAMB
c 24 R13_BDCGP
c 25 R13_HKHKG
c 26 R13_IDSRG
c 27 R13_IDSUB
c 28 R13_MYPKG
c 29 R13_SGSIN
c 30 R13_THLCH
c 31 R14_EGALY
c 32 R14_EGPSD
c 33 R14_INPAV
c 34 R14_PKBQM
c 35 R14_PKKHI
c 36 R14_SAJED
c 37 R14_TRAMB
c 38 R14_YEADE
c 39 R15_ESALG
c 40 R15_GBSOU
c 41 R15_MACAS
c 42 R15_NLRTM
c 43 R16_AEJEA
c 44 R16_BDCGP
c 45 R16_INNSA
c 46 R16_INPAV
c 47 R16_MYPKG
c 48 R16_MYTPP
c 49 R16_PKBQM
c 50 R16_PKKHI
c 51 R16_SADMM
c 52 R16_THLCH
c 53 R17_TWKHH
c 54 R17_VNHPH
c 55 R18_FIKTK
c 56 R18_PLGDY
c 57 R18_RULED
c 58 R19_DEBRV
c 59 R19_GBABD
c 60 R19_GBSOU
c 61 R19_NLRTM
c 62 R19_NOAES
c 63 R19_NOBGO
c 64 R1_BDCGP
c 65 R1_IDJKT
c 66 R1_IDSUB
c 67 R1_INMAA
c 68 R1_LKCMB
c 69 R1_MYPKG
c 70 R1_MYTPP
c 71 R1_PHGES
c 72 R1_PHMNL
c 73 R1_SGSIN
c 74 R1_THLCH
c 75 R1_TWKHH
c 76 R1_VNSGN
c 77 R20_CNDLC
c 78 R20_CNFOC
c 79 R20_CNXMN
c 80 R20_JPTYO
c 81 R20_KRPUS
c 82 R20_MYPKG
c 83 R20_SGSIN
c 84 R20_TWKHH
c 85 R21_CNDLC
c 86 R21_KRPUS
c 87 R21_MYPKG
c 88 R21_TWKHH
c 89 R22_ESALG
c 90 R22_ESTAR
c 91 R22_ESVLC
c 92 R22_FRFOS
c 93 R22_ITGOA
c 94 R22_SAJED
c 95 R23_EGPSD
c 96 R23_ESALG
c 97 R23_ESBCN
c 98 R23_FRFOS
c 99 R23_GRPIR
c 100 R23_ITGIT
c 101 R23_ITTRS
c 102 R23_JOAQB
c 103 R23_LBBEY
c 104 R23_LKCMB
c 105 R23_MYTPP
c 106 R23_SAJED
c 107 R23_SGSIN
c 108 R24_AEJEA
c 109 R24_HKHKG
c 110 R24_INMAA
c 111 R24_INPAV
c 112 R24_IRBND
c 113 R24_LKCMB
c 114 R24_MYTPP
c 115 R24_OMSLL
c 116 R24_SADMM
c 117 R24_SGSIN
c 118 R25_DEHAM
c 119 R25_ESBCN
c 120 R25_ITGIT
