c resource constrained multi commodity flow
c Pacific
c linerlib_networkname Pacific-All-3
c
c id type|name
c 0 R0_CNSHA
c 1 R0_CNYTN
c 2 R0_USLAX
c 3 R10_CNDLC
c 4 R10_CNFOC
c 5 R10_CNSHA
c 6 R10_CNXMN
c 7 R10_JPHKT
c 8 R10_KRPUS
c 9 R10_MYTPP
c 10 R10_THLCH
c 11 R10_TWKEL
c 12 R11_MXLZC
c 13 R11_NICIO
c 14 R11_PABLB
c 15 R11_PAMIT
c 16 R11_SVAQJ
c 17 R12_CNYTN
c 18 R12_IDJKT
c 19 R12_MYTPP
c 20 R12_SGSIN
c 21 R12_THLCH
c 22 R13_IDSRG
c 23 R13_MYTPP
c 24 R13_PHGES
c 25 R13_SGSIN
c 26 R13_THLCH
c 27 R13_VNSGN
c 28 R1_CNYTN
c 29 R1_HKHKG
c 30 R1_USLAX
c 31 R2_CNDLC
c 32 R2_CNSHA
c 33 R2_CNXMN
c 34 R2_HKHKG
c 35 R2_KRPUS
c 36 R2_MYTPP
c 37 R2_PABLB
c 38 R3_JPYOK
c 39 R3_KRPUS
c 40 R3_USLAX
c 41 R3_USOAK
c 42 R3_USSEA
c 43 R4_CNYTN
c 44 R4_HKHKG
c 45 R4_MYTPP
c 46 R4_PABLB
c 47 R5_CNLYG
c 48 R5_CNSHA
c 49 R5_CNTAO
c 50 R5_JPNGO
c 51 R5_JPUKB
c 52 R5_KRPUS
c 53 R5_MYTPP
c 54 R6_CNSHA
c 55 R6_CNYTN
c 56 R6_HKHKG
c 57 R6_JPNGO
c 58 R6_JPSMZ
c 59 R6_JPTYO
c 60 R6_JPYOK
c 61 R6_KRPUS
c 62 R6_MYTPP
c 63 R6_TWKHH
c 64 R7_CAVAN
c 65 R7_CNSHA
c 66 R7_JPYOK
c 67 R7_USLAX
c 68 R7_USLGB
c 69 R8_CNSHA
c 70 R8_IDSUB
c 71 R8_MYPEN
c 72 R8_MYTPP
c 73 R8_SGSIN
c 74 R8_THLCH
c 75 R9_CNTAO
c 76 R9_CNXMN
c 77 R9_CNYTN
c 78 R9_HKHKG
c 79 R9_MYPKG
c 80 R9_MYTPP
c 81 R9_PHMNL
c 82 R9_SGSIN
c 83 R9_TWKHH
c 84 R9_VNHPH
c 85 O_CAVAN
c 86 O_CNDLC
c 87 O_CNFOC
c 88 O_CNLYG
c 89 O_CNSHA
c 90 O_CNTAO
c 91 O_CNXMN
c 92 O_CNYTN
c 93 O_HKHKG
c 94 O_IDJKT
c 95 O_IDSRG
c 96 O_IDSUB
c 97 O_JPHKT
c 98 O_JPNGO
c 99 O_JPSMZ
c 100 O_JPTYO
c 101 O_JPUKB
c 102 O_JPYOK
c 103 O_KRPUS
c 104 O_MXLZC
c 105 O_MYPEN
c 106 O_MYPKG
c 107 O_MYTPP
c 108 O_NICIO
c 109 O_PABLB
c 110 O_PAMIT
c 111 O_PHGES
c 112 O_PHMNL
c 113 O_SGSIN
c 114 O_SVAQJ
c 115 O_THLCH
c 116 O_TWKEL
c 117 O_TWKHH
c 118 O_USLAX
c 119 O_USLGB
c 120 O_USOAK
c 121 O_USSEA
c 122 O_VNHPH
c 123 O_VNSGN
c 124 D_CAVAN
c 125 D_CNDLC
c 126 D_CNFOC
c 127 D_CNLYG
c 128 D_CNSHA
c 129 D_CNTAO
c 130 D_CNXMN
c 131 D_CNYTN
c 132 D_HKHKG
c 133 D_IDJKT
c 134 D_IDSRG
c 135 D_IDSUB
c 136 D_JPHKT
c 137 D_JPNGO
c 138 D_JPSMZ
c 139 D_JPTYO
c 140 D_JPUKB
c 141 D_JPYOK
c 142 D_KRPUS
c 143 D_MXLZC
c 144 D_MYPEN
c 145 D_MYPKG
c 146 D_MYTPP
c 147 D_NICIO
c 148 D_PABLB
c 149 D_PAMIT
c 150 D_PHGES
c 151 D_PHMNL
c 152 D_SGSIN
c 153 D_SVAQJ
c 154 D_THLCH
c 155 D_TWKEL
c 156 D_TWKHH
c 157 D_USLAX
c 158 D_USLGB
c 159 D_USOAK
c 160 D_USSEA
c 161 D_VNHPH
c 162 D_VNSGN
c
c problem vertices edges commodities resources
p rcmcf 163 523 668 1
c
c origin destination demand resource_limits
k 86 124 33 2400
k 89 124 29 1800
k 90 124 22 2900
k 91 124 27 3100
k 92 124 142 2300
k 93 124 46 2200
k 94 124 1 3500
k 96 124 2 3900
k 102 124 2 1900
k 105 124 1 3700
k 106 124 4 3100
k 107 124 11 2800
k 111 124 11 2600
k 113 124 3 2200
k 115 124 35 3400
k 117 124 3 7000
k 122 124 4 3100
k 123 124 1 3200
k 85 125 9 3300
k 104 125 19 4200
k 105 125 4 1200
k 107 125 147 1100
k 109 125 29 3400
k 113 125 18 1100
k 115 125 6 1300
k 118 125 69 2800
k 119 125 30 1900
k 120 125 52 2400
k 121 125 11 3600
k 102 126 2 900
k 106 126 2 1500
k 107 126 5 2100
k 120 126 5 2400
k 121 126 4 2000
k 107 127 44 3000
k 109 127 2 3100
k 118 127 18 2500
k 85 128 22 1800
k 93 128 50 500
k 98 128 2 700
k 103 128 2 400
k 104 128 17 2800
k 107 128 208 1000
k 109 128 388 3200
k 110 128 3 2400
k 111 128 3 1100
k 113 128 21 1000
k 115 128 15 1300
k 118 128 210 1700
k 119 128 98 2100
k 120 128 33 2100
k 121 128 43 2100
k 85 129 5 3000
k 104 129 26 4000
k 105 129 2 1500
k 106 129 2 1100
k 107 129 98 2100
k 109 129 30 3300
k 110 129 3 2500
k 113 129 8 1100
k 115 129 1 1600
k 118 129 232 2300
k 120 129 9 3000
k 121 129 25 3400
k 102 130 1 1200
k 105 130 1 1700
k 107 130 62 1100
k 109 130 41 3300
k 113 130 6 700
k 115 130 14 1900
k 118 130 21 1900
k 121 130 6 3200
k 85 131 10 2400
k 98 131 3 800
k 102 131 15 800
k 105 131 2 800
k 107 131 29 700
k 109 131 68 4100
k 110 131 7 3100
k 113 131 26 600
k 115 131 11 1100
k 118 131 10 2000
k 120 131 26 1900
k 121 131 3 2700
k 85 132 36 2300
k 94 132 4 500
k 96 132 1 1000
k 97 132 19 600
k 98 132 16 1000
k 101 132 3 900
k 102 132 7 800
k 103 132 31 600
k 104 132 39 3300
k 105 132 1 800
k 107 132 507 700
k 108 132 1 3200
k 109 132 272 3800
k 110 132 7 2700
k 112 132 96 400
k 113 132 43 600
k 114 132 4 4200
k 115 132 123 700
k 116 132 4 400
k 117 132 28 300
k 118 132 319 2800
k 120 132 27 2000
k 121 132 88 2600
k 122 132 2 300
k 123 132 3 300
k 85 133 9 4000
k 86 133 3 1400
k 89 133 92 1200
k 90 133 45 1200
k 91 133 6 1000
k 92 133 5 1000
k 93 133 7 500
k 97 133 18 1300
k 100 133 1 1400
k 101 133 12 1600
k 102 133 41 1400
k 103 133 36 1300
k 105 133 1 700
k 106 133 1 300
k 107 133 92 300
k 109 133 16 4800
k 113 133 37 300
k 115 133 151 400
k 117 133 35 1100
k 118 133 59 3500
k 120 133 5 3700
k 121 133 13 4300
k 122 133 14 900
k 123 133 13 500
k 86 134 9 1700
k 89 134 34 1300
k 91 134 7 1200
k 92 134 3 1100
k 93 134 5 1100
k 98 134 2 1800
k 105 134 2 600
k 107 134 19 400
k 115 134 1 900
k 117 134 28 1200
k 118 134 2 3700
k 123 134 3 600
k 85 135 5 2500
k 86 135 3 1700
k 89 135 19 1200
k 90 135 43 1600
k 91 135 4 1000
k 92 135 4 1000
k 93 135 3 1000
k 100 135 1 1500
k 101 135 1 1600
k 103 135 1 1400
k 105 135 1 500
k 106 135 1 600
k 107 135 48 300
k 113 135 51 300
k 115 135 24 500
k 117 135 35 1100
k 118 135 22 3600
k 120 135 2 3800
k 121 135 6 4500
k 122 135 4 1000
k 123 135 16 600
k 85 136 7 3400
k 107 136 9 2800
k 109 136 3 3800
k 113 136 2 1100
k 115 136 4 1300
k 118 136 17 2300
k 120 136 2 3100
k 121 136 39 3800
k 85 137 11 3400
k 93 137 20 700
k 95 137 2 1400
k 104 137 3 3400
k 107 137 52 1100
k 110 137 2 4000
k 113 137 8 1100
k 115 137 69 1300
k 117 137 1 1000
k 118 137 102 1700
k 120 137 6 2600
k 121 137 32 3700
k 94 138 3 1500
k 96 138 2 1500
k 103 138 12 500
k 107 138 2 3700
k 109 138 1 3800
k 115 138 5 1400
k 86 139 12 1200
k 89 139 9 1100
k 92 139 4 900
k 93 139 16 700
k 96 139 1 1700
k 103 139 2 1300
k 107 139 12 1400
k 111 139 2 1400
k 113 139 4 1400
k 115 139 4 1200
k 117 139 1 1000
k 93 140 7 700
k 94 140 12 1400
k 96 140 4 1400
k 104 140 2 3300
k 105 140 1 1200
k 107 140 96 1100
k 109 140 10 3800
k 111 140 1 1300
k 113 140 29 1100
k 115 140 272 1200
k 118 140 96 2200
k 120 140 32 2000
k 123 140 4 900
k 85 141 83 1500
k 90 141 3 1000
k 92 141 9 700
k 93 141 18 700
k 94 141 6 1500
k 95 141 1 1600
k 96 141 4 1700
k 103 141 4 700
k 104 141 31 3400
k 106 141 3 1400
k 107 141 149 1400
k 109 141 114 3700
k 110 141 6 2200
k 111 141 5 1500
k 113 141 44 1200
k 114 141 1 3100
k 115 141 100 1200
k 117 141 6 1000
k 118 141 228 1600
k 120 141 104 1800
k 121 141 178 1800
k 123 141 3 1000
k 85 142 52 2800
k 86 142 9 500
k 89 142 3 400
k 92 142 10 600
k 93 142 50 700
k 95 142 2 1100
k 98 142 5 500
k 101 142 34 500
k 102 142 20 500
k 104 142 47 3400
k 105 142 7 1000
k 107 142 173 900
k 109 142 100 3000
k 110 142 6 3000
k 111 142 2 1400
k 113 142 42 1100
k 114 142 5 4600
k 115 142 22 1200
k 117 142 10 1000
k 118 142 380 2600
k 120 142 96 2300
k 121 142 197 3100
k 86 143 87 3200
k 87 143 8 3700
k 89 143 193 2200
k 90 143 10 3200
k 91 143 23 3300
k 92 143 191 2500
k 93 143 45 2600
k 94 143 8 4000
k 102 143 5 1600
k 103 143 103 1900
k 106 143 4 3600
