c resource constrained multi commodity flow
c Pacific
c linerlib_networkname Pacific-All-3
c transhipmenttype complete
c
c id type|name
c 0 R0_CNSHA
c 1 R0_CNYTN
c 2 R0_USLAX
c 3 R10_CNDLC
c 4 R10_CNFOC
c 5 R10_CNSHA
c 6 R10_CNXMN
c 7 R10_JPHKT
c 8 R10_KRPUS
c 9 R10_MYTPP
c 10 R10_THLCH
c 11 R10_TWKEL
c 12 R11_MXLZC
c 13 R11_NICIO
c 14 R11_PABLB
c 15 R11_PAMIT
c 16 R11_SVAQJ
c 17 R12_CNYTN
c 18 R12_IDJKT
c 19 R12_MYTPP
c 20 R12_SGSIN
c 21 R12_THLCH
c 22 R13_IDSRG
c 23 R13_MYTPP
c 24 R13_PHGES
c 25 R13_SGSIN
c 26 R13_THLCH
c 27 R13_VNSGN
c 28 R1_CNYTN
c 29 R1_HKHKG
c 30 R1_USLAX
c 31 R2_CNDLC
c 32 R2_CNSHA
c 33 R2_CNXMN
c 34 R2_HKHKG
c 35 R2_KRPUS
c 36 R2_MYTPP
c 37 R2_PABLB
c 38 R3_JPYOK
c 39 R3_KRPUS
c 40 R3_USLAX
c 41 R3_USOAK
c 42 R3_USSEA
c 43 R4_CNYTN
c 44 R4_HKHKG
c 45 R4_MYTPP
c 46 R4_PABLB
c 47 R5_CNLYG
c 48 R5_CNSHA
c 49 R5_CNTAO
c 50 R5_JPNGO
c 51 R5_JPUKB
c 52 R5_KRPUS
c 53 R5_MYTPP
c 54 R6_CNSHA
c 55 R6_CNYTN
c 56 R6_HKHKG
c 57 R6_JPNGO
c 58 R6_JPSMZ
c 59 R6_JPTYO
c 60 R6_JPYOK
c 61 R6_KRPUS
c 62 R6_MYTPP
c 63 R6_TWKHH
c 64 R7_CAVAN
c 65 R7_CNSHA
c 66 R7_JPYOK
c 67 R7_USLAX
c 68 R7_USLGB
c 69 R8_CNSHA
c 70 R8_IDSUB
c 71 R8_MYPEN
c 72 R8_MYTPP
c 73 R8_SGSIN
c 74 R8_THLCH
c 75 R9_CNTAO
c 76 R9_CNXMN
c 77 R9_CNYTN
c 78 R9_HKHKG
c 79 R9_MYPKG
c 80 R9_MYTPP
c 81 R9_PHMNL
c 82 R9_SGSIN
c 83 R9_TWKHH
c 84 R9_VNHPH
c 85 O_IDSRG
c 86 O_USLAX
c 87 O_MYTPP
c 88 O_USLGB
c 89 O_THLCH
c 90 O_CNDLC
c 91 O_USSEA
c 92 O_NICIO
c 93 O_JPNGO
c 94 O_SGSIN
c 95 O_SVAQJ
c 96 O_JPHKT
c 97 O_PAMIT
c 98 O_TWKEL
c 99 O_CNTAO
c 100 O_USOAK
c 101 O_CNSHA
c 102 O_IDSUB
c 103 O_JPTYO
c 104 O_JPUKB
c 105 O_JPYOK
c 106 O_KRPUS
c 107 O_CAVAN
c 108 O_VNSGN
c 109 O_IDJKT
c 110 O_CNXMN
c 111 O_TWKHH
c 112 O_JPSMZ
c 113 O_PABLB
c 114 O_CNFOC
c 115 O_CNYTN
c 116 O_CNLYG
c 117 O_MYPKG
c 118 O_HKHKG
c 119 O_PHMNL
c 120 O_MXLZC
c 121 O_MYPEN
c 122 O_PHGES
c 123 O_VNHPH
c 124 D_PHMNL
c 125 D_CNTAO
c 126 D_SVAQJ
c 127 D_PAMIT
c 128 D_SGSIN
c 129 D_IDSUB
c 130 D_JPTYO
c 131 D_HKHKG
c 132 D_JPHKT
c 133 D_MYPKG
c 134 D_USLGB
c 135 D_CNSHA
c 136 D_CNXMN
c 137 D_TWKEL
c 138 D_PHGES
c 139 D_VNHPH
c 140 D_PABLB
c 141 D_VNSGN
c 142 D_JPYOK
c 143 D_CAVAN
c 144 D_IDSRG
c 145 D_IDJKT
c 146 D_TWKHH
c 147 D_JPUKB
c 148 D_NICIO
c 149 D_CNFOC
c 150 D_KRPUS
c 151 D_CNLYG
c 152 D_CNYTN
c 153 D_JPNGO
c 154 D_MYPEN
c 155 D_MYTPP
c 156 D_THLCH
c 157 D_JPSMZ
c 158 D_USLAX
c 159 D_USSEA
c 160 D_MXLZC
c 161 D_USOAK
c 162 D_CNDLC
c
c problem vertices edges commodities resources
p rcmcf 163 523 668 1
c
c origin destination demand resource_limits
k 90 143 33 2400
k 101 143 29 1800
k 99 143 22 2900
k 110 143 27 3100
k 115 143 142 2300
k 118 143 46 2200
k 109 143 1 3500
k 102 143 2 3900
k 105 143 2 1900
k 121 143 1 3700
k 117 143 4 3100
k 87 143 11 2800
k 122 143 11 2600
k 94 143 3 2200
k 89 143 35 3400
k 111 143 3 7000
k 123 143 4 3100
k 108 143 1 3200
k 107 162 9 3300
k 120 162 19 4200
k 121 162 4 1200
k 87 162 147 1100
k 113 162 29 3400
k 94 162 18 1100
k 89 162 6 1300
k 86 162 69 2800
k 88 162 30 1900
k 100 162 52 2400
k 91 162 11 3600
k 105 149 2 900
k 117 149 2 1500
k 87 149 5 2100
k 100 149 5 2400
k 91 149 4 2000
k 87 151 44 3000
k 113 151 2 3100
k 86 151 18 2500
k 107 135 22 1800
k 118 135 50 500
k 93 135 2 700
k 106 135 2 400
k 120 135 17 2800
k 87 135 208 1000
k 113 135 388 3200
k 97 135 3 2400
k 122 135 3 1100
k 94 135 21 1000
k 89 135 15 1300
k 86 135 210 1700
k 88 135 98 2100
k 100 135 33 2100
k 91 135 43 2100
k 107 125 5 3000
k 120 125 26 4000
k 121 125 2 1500
k 117 125 2 1100
k 87 125 98 2100
k 113 125 30 3300
k 97 125 3 2500
k 94 125 8 1100
k 89 125 1 1600
k 86 125 232 2300
k 100 125 9 3000
k 91 125 25 3400
k 105 136 1 1200
k 121 136 1 1700
k 87 136 62 1100
k 113 136 41 3300
k 94 136 6 700
k 89 136 14 1900
k 86 136 21 1900
k 91 136 6 3200
k 107 152 10 2400
k 93 152 3 800
k 105 152 15 800
k 121 152 2 800
k 87 152 29 700
k 113 152 68 4100
k 97 152 7 3100
k 94 152 26 600
k 89 152 11 1100
k 86 152 10 2000
k 100 152 26 1900
k 91 152 3 2700
k 107 131 36 2300
k 109 131 4 500
k 102 131 1 1000
k 96 131 19 600
k 93 131 16 1000
k 104 131 3 900
k 105 131 7 800
k 106 131 31 600
k 120 131 39 3300
k 121 131 1 800
k 87 131 507 700
k 92 131 1 3200
k 113 131 272 3800
k 97 131 7 2700
k 119 131 96 400
k 94 131 43 600
k 95 131 4 4200
k 89 131 123 700
k 98 131 4 400
k 111 131 28 300
k 86 131 319 2800
k 100 131 27 2000
k 91 131 88 2600
k 123 131 2 300
k 108 131 3 300
k 107 145 9 4000
k 90 145 3 1400
k 101 145 92 1200
k 99 145 45 1200
k 110 145 6 1000
k 115 145 5 1000
k 118 145 7 500
k 96 145 18 1300
k 103 145 1 1400
k 104 145 12 1600
k 105 145 41 1400
k 106 145 36 1300
k 121 145 1 700
k 117 145 1 300
k 87 145 92 300
k 113 145 16 4800
k 94 145 37 300
k 89 145 151 400
k 111 145 35 1100
k 86 145 59 3500
k 100 145 5 3700
k 91 145 13 4300
k 123 145 14 900
k 108 145 13 500
k 90 144 9 1700
k 101 144 34 1300
k 110 144 7 1200
k 115 144 3 1100
k 118 144 5 1100
k 93 144 2 1800
k 121 144 2 600
k 87 144 19 400
k 89 144 1 900
k 111 144 28 1200
k 86 144 2 3700
k 108 144 3 600
k 107 129 5 2500
k 90 129 3 1700
k 101 129 19 1200
k 99 129 43 1600
k 110 129 4 1000
k 115 129 4 1000
k 118 129 3 1000
k 103 129 1 1500
k 104 129 1 1600
