c resource constrained multi commodity flow
c Pacific
c linerlib_networkname Pacific_28043_5_low_best
c
c id type|name
c 0 R0_HKHKG
c 1 R0_IDSRG
c 2 R0_IDSUB
c 3 R0_MYPEN
c 4 R0_MYPKG
c 5 R0_MYTPP
c 6 R0_PHMNL
c 7 R0_SGSIN
c 8 R0_THLCH
c 9 R0_TWKHH
c 10 R0_VNHPH
c 11 R10_CNFOC
c 12 R10_CNLYG
c 13 R10_IDJKT
c 14 R10_MYTPP
c 15 R10_PHMNL
c 16 R10_SGSIN
c 17 R10_TWKHH
c 18 R10_VNDAD
c 19 R10_VNSGN
c 20 R11_CNTAO
c 21 R11_CNYTN
c 22 R11_MYTPP
c 23 R11_SGSIN
c 24 R12_PABLB
c 25 R12_PAMIT
c 26 R12_SVAQJ
c 27 R13_KRPUS
c 28 R13_MYTPP
c 29 R14_JPOSA
c 30 R14_JPTYO
c 31 R14_JPUKB
c 32 R14_USDUT
c 33 R14_USHNL
c 34 R14_USLAX
c 35 R1_CNTAO
c 36 R1_CNXMN
c 37 R1_HKHKG
c 38 R1_JPHKT
c 39 R1_MYTPP
c 40 R1_PHMNL
c 41 R1_THLCH
c 42 R1_TWKHH
c 43 R2_CNSHA
c 44 R2_CNXMN
c 45 R2_MYPKG
c 46 R2_MYTPP
c 47 R2_SGSIN
c 48 R2_TWKHH
c 49 R3_CAVAN
c 50 R3_CNSHA
c 51 R3_CNTAO
c 52 R3_CNXMN
c 53 R3_CNYTN
c 54 R3_HKHKG
c 55 R3_JPYOK
c 56 R3_KRPUS
c 57 R3_USLAX
c 58 R3_USOAK
c 59 R3_USSEA
c 60 R4_CNYTN
c 61 R4_JPYOK
c 62 R4_KRPUS
c 63 R4_TWKHH
c 64 R4_USLAX
c 65 R4_USOAK
c 66 R5_CNDLC
c 67 R5_CNSHA
c 68 R5_CNXMN
c 69 R5_JPUKB
c 70 R5_KRPUS
c 71 R5_MYTPP
c 72 R5_TWKHH
c 73 R6_CNSHA
c 74 R6_CNTAO
c 75 R6_HKHKG
c 76 R6_KRPUS
c 77 R6_MXLZC
c 78 R6_PABLB
c 79 R6_TWKEL
c 80 R6_TWKHH
c 81 R6_USLAX
c 82 R6_USLGB
c 83 R7_HKHKG
c 84 R7_JPNGO
c 85 R7_JPYOK
c 86 R7_MYTPP
c 87 R8_JPYOK
c 88 R8_KRPUS
c 89 R8_MXLZC
c 90 R8_PABLB
c 91 R8_USLAX
c 92 R9_CNYTN
c 93 R9_IDJKT
c 94 R9_MYTPP
c 95 R9_PHGES
c 96 R9_PHMNL
c 97 R9_SGSIN
c 98 R9_TWKHH
c 99 R9_VNSGN
c 100 O_CAVAN
c 101 O_CNDLC
c 102 O_CNFOC
c 103 O_CNLYG
c 104 O_CNSHA
c 105 O_CNTAO
c 106 O_CNXMN
c 107 O_CNYTN
c 108 O_HKHKG
c 109 O_IDJKT
c 110 O_IDSRG
c 111 O_IDSUB
c 112 O_JPHKT
c 113 O_JPNGO
c 114 O_JPOSA
c 115 O_JPTYO
c 116 O_JPUKB
c 117 O_JPYOK
c 118 O_KRPUS
c 119 O_MXLZC
c 120 O_MYPEN
c 121 O_MYPKG
c 122 O_MYTPP
c 123 O_PABLB
c 124 O_PAMIT
c 125 O_PHGES
c 126 O_PHMNL
c 127 O_SGSIN
c 128 O_SVAQJ
c 129 O_THLCH
c 130 O_TWKEL
c 131 O_TWKHH
c 132 O_USDUT
c 133 O_USHNL
c 134 O_USLAX
c 135 O_USLGB
c 136 O_USOAK
c 137 O_USSEA
c 138 O_VNDAD
c 139 O_VNHPH
c 140 O_VNSGN
c 141 D_CAVAN
c 142 D_CNDLC
c 143 D_CNFOC
c 144 D_CNLYG
c 145 D_CNSHA
c 146 D_CNTAO
c 147 D_CNXMN
c 148 D_CNYTN
c 149 D_HKHKG
c 150 D_IDJKT
c 151 D_IDSRG
c 152 D_IDSUB
c 153 D_JPHKT
c 154 D_JPNGO
c 155 D_JPOSA
c 156 D_JPTYO
c 157 D_JPUKB
c 158 D_JPYOK
c 159 D_KRPUS
c 160 D_MXLZC
c 161 D_MYPEN
c 162 D_MYPKG
c 163 D_MYTPP
c 164 D_PABLB
c 165 D_PAMIT
c 166 D_PHGES
c 167 D_PHMNL
c 168 D_SGSIN
c 169 D_SVAQJ
c 170 D_THLCH
c 171 D_TWKEL
c 172 D_TWKHH
c 173 D_USDUT
c 174 D_USHNL
c 175 D_USLAX
c 176 D_USLGB
c 177 D_USOAK
c 178 D_USSEA
c 179 D_VNDAD
c 180 D_VNHPH
c 181 D_VNSGN
c
c problem vertices edges commodities resources
p rcmcf 182 616 685 1
c
c origin destination demand resource_limits
k 101 141 33 2400
k 104 141 29 1800
k 105 141 22 2900
k 106 141 27 3100
k 107 141 142 2300
k 108 141 46 2200
k 109 141 1 3500
k 111 141 2 3900
k 117 141 2 1900
k 120 141 1 3700
k 121 141 4 3100
k 122 141 11 2800
k 125 141 11 2600
k 127 141 3 2200
k 129 141 35 3400
k 131 141 3 7000
k 139 141 4 3100
k 140 141 1 3200
k 100 142 9 3300
k 119 142 19 4200
k 120 142 4 1200
k 122 142 147 1100
k 123 142 29 3400
k 127 142 18 1100
k 129 142 6 1300
k 132 142 2 1700
k 134 142 69 2800
k 135 142 30 1900
