c resource constrained multi commodity flow
c Pacific
c linerlib_networkname Pacific_base_best
c transhipmenttype complete
c
c id type|name
c 0 R0_CNXMN
c 1 R0_CNYTN
c 2 R0_HKHKG
c 3 R0_IDSUB
c 4 R0_KRPUS
c 5 R0_MYPEN
c 6 R0_MYPKG
c 7 R0_MYTPP
c 8 R0_PHMNL
c 9 R0_SGSIN
c 10 R0_THLCH
c 11 R0_TWKHH
c 12 R0_VNHPH
c 13 R10_MXLZC
c 14 R10_NICIO
c 15 R10_PABLB
c 16 R10_PAMIT
c 17 R10_SVAQJ
c 18 R11_CNSHA
c 19 R11_HKHKG
c 20 R11_KRPUS
c 21 R11_MXESE
c 22 R11_PABLB
c 23 R11_SVAQJ
c 24 R11_USOAK
c 25 R12_JPHKT
c 26 R12_JPTYO
c 27 R12_JPYOK
c 28 R12_KRPUS
c 29 R13_CNLYG
c 30 R13_CNSHA
c 31 R13_CNTAO
c 32 R13_CNYTN
c 33 R13_JPSMZ
c 34 R13_JPUKB
c 35 R13_JPYOK
c 36 R13_KRPUS
c 37 R13_MYTPP
c 38 R13_SGSIN
c 39 R13_TWKHH
c 40 R14_CNDLC
c 41 R14_CNTAO
c 42 R14_CNYTN
c 43 R14_HKHKG
c 44 R14_JPUKB
c 45 R14_JPYOK
c 46 R14_KRPUS
c 47 R14_MYTPP
c 48 R15_CNSHA
c 49 R15_CNYTN
c 50 R15_IDJKT
c 51 R15_MYTPP
c 52 R15_PHGES
c 53 R15_SGSIN
c 54 R15_THLCH
c 55 R15_TWKHH
c 56 R15_VNSGN
c 57 R16_CNYTN
c 58 R16_TWKEL
c 59 R1_CAVAN
c 60 R1_CNDLC
c 61 R1_CNFOC
c 62 R1_CNTAO
c 63 R1_CNXMN
c 64 R1_CNYTN
c 65 R1_HKHKG
c 66 R1_KRPUS
c 67 R1_MXLZC
c 68 R1_MYTPP
c 69 R1_SGSIN
c 70 R1_USLAX
c 71 R1_USOAK
c 72 R1_USSEA
c 73 R2_CNSHA
c 74 R2_JPYOK
c 75 R2_MYTPP
c 76 R2_PABLB
c 77 R3_CNDLC
c 78 R3_CNTAO
c 79 R3_CNXMN
c 80 R3_MYTPP
c 81 R4_CNTAO
c 82 R4_HKHKG
c 83 R4_JPNGO
c 84 R4_JPYOK
c 85 R4_KRPUS
c 86 R4_PABLB
c 87 R4_TWKHH
c 88 R4_USLAX
c 89 R5_CNDLC
c 90 R5_CNSHA
c 91 R5_CNTAO
c 92 R5_JPYOK
c 93 R5_TWKHH
c 94 R5_USLAX
c 95 R5_USLGB
c 96 R5_USOAK
c 97 R6_HKHKG
c 98 R6_JPYOK
c 99 R6_KRPUS
c 100 R6_MYTPP
c 101 R6_SGSIN
c 102 R6_TWKHH
c 103 R6_USLAX
c 104 R6_USOAK
c 105 R7_IDJKT
c 106 R7_IDSRG
c 107 R7_MYTPP
c 108 R7_THLCH
c 109 R7_VNDAD
c 110 R7_VNSGN
c 111 R8_MYTPP
c 112 R8_SGSIN
c 113 R8_THLCH
c 114 R8_VNSGN
c 115 R9_CNYTN
c 116 R9_MYPKG
c 117 R9_MYTPP
c 118 R9_TWKHH
c 119 O_IDSRG
c 120 O_MXESE
c 121 O_VNDAD
c 122 O_USLAX
c 123 O_MYTPP
c 124 O_USLGB
c 125 O_THLCH
c 126 O_CNDLC
c 127 O_USSEA
c 128 O_NICIO
c 129 O_JPNGO
c 130 O_SGSIN
c 131 O_SVAQJ
c 132 O_JPHKT
c 133 O_PAMIT
c 134 O_TWKEL
c 135 O_CNTAO
c 136 O_USOAK
c 137 O_CNSHA
c 138 O_IDSUB
c 139 O_JPTYO
c 140 O_JPUKB
c 141 O_JPYOK
c 142 O_KRPUS
c 143 O_CAVAN
c 144 O_VNSGN
c 145 O_IDJKT
c 146 O_CNXMN
c 147 O_TWKHH
c 148 O_JPSMZ
c 149 O_PABLB
c 150 O_CNFOC
c 151 O_CNYTN
c 152 O_CNLYG
c 153 O_MYPKG
c 154 O_HKHKG
c 155 O_PHMNL
c 156 O_MXLZC
c 157 O_MYPEN
c 158 O_PHGES
c 159 O_VNHPH
c 160 D_PHMNL
c 161 D_VNDAD
c 162 D_CNTAO
c 163 D_SVAQJ
c 164 D_MXESE
c 165 D_PAMIT
c 166 D_SGSIN
c 167 D_IDSUB
c 168 D_JPTYO
c 169 D_HKHKG
