c resource constrained multi commodity flow
c Pacific
c linerlib_networkname Pacific_high_best_30600_4
c
c id type|name
c 0 R0_CNSHA
c 1 R0_IDJKT
c 2 R0_PHGES
c 3 R0_PHMNL
c 4 R0_SGSIN
c 5 R0_THLCH
c 6 R0_TWKEL
c 7 R0_TWKHH
c 8 R0_VNSGN
c 9 R10_CNTAO
c 10 R10_CNXMN
c 11 R10_CNYTN
c 12 R10_TWKHH
c 13 R10_USLAX
c 14 R11_CNDLC
c 15 R11_CNTAO
c 16 R11_CNYTN
c 17 R11_MYTPP
c 18 R12_CNSHA
c 19 R12_HKHKG
c 20 R12_JPUKB
c 21 R12_JPYOK
c 22 R12_KRPUS
c 23 R12_MYTPP
c 24 R12_SGSIN
c 25 R13_CNDLC
c 26 R13_CNTAO
c 27 R13_JPSMZ
c 28 R13_JPYOK
c 29 R13_KRPUS
c 30 R13_MYTPP
c 31 R13_TWKHH
c 32 R14_KRPUS
c 33 R14_USLAX
c 34 R14_USLGB
c 35 R15_PABLB
c 36 R15_SVAQJ
c 37 R16_CNYTN
c 38 R16_HKHKG
c 39 R16_MYPKG
c 40 R16_MYTPP
c 41 R16_SGSIN
c 42 R16_THLCH
c 43 R16_TWKHH
c 44 R16_VNDAD
c 45 R1_IDJKT
c 46 R1_MYTPP
c 47 R1_PHMNL
c 48 R1_SGSIN
c 49 R1_THLCH
c 50 R1_TWKEL
c 51 R1_TWKHH
c 52 R1_VNDAD
c 53 R1_VNSGN
c 54 R2_IDSRG
c 55 R2_IDSUB
c 56 R2_MYPEN
c 57 R2_MYPKG
c 58 R2_MYTPP
c 59 R2_SGSIN
c 60 R2_THLCH
c 61 R3_CAVAN
c 62 R3_CNSHA
c 63 R3_JPUKB
c 64 R3_KRPUS
c 65 R3_MXESE
c 66 R3_MXLZC
c 67 R3_MYPEN
c 68 R3_MYPKG
c 69 R3_MYTPP
c 70 R3_NICIO
c 71 R3_PABLB
c 72 R3_PAMIT
c 73 R3_PHMNL
c 74 R3_SVAQJ
c 75 R3_THLCH
c 76 R3_TWKHH
c 77 R3_USDUT
c 78 R3_USHNL
c 79 R3_USLAX
c 80 R3_USSEA
c 81 R3_VNHPH
c 82 R4_CNFOC
c 83 R4_CNLYG
c 84 R4_CNTAO
c 85 R4_HKHKG
c 86 R4_JPHKT
c 87 R4_JPTYO
c 88 R4_KRPUS
c 89 R4_MYPKG
c 90 R4_MYTPP
c 91 R4_SGSIN
c 92 R4_TWKHH
c 93 R5_CNLYG
c 94 R5_CNSHA
c 95 R5_CNYTN
c 96 R5_HKHKG
c 97 R5_JPNGO
c 98 R5_JPYOK
c 99 R5_MYPKG
c 100 R5_MYTPP
c 101 R5_SGSIN
c 102 R5_USLAX
c 103 R6_CNSHA
c 104 R6_JPYOK
c 105 R6_USLAX
c 106 R7_CNXMN
c 107 R7_MYTPP
c 108 R7_PABLB
c 109 R7_SGSIN
c 110 R7_USLAX
c 111 R8_CAVAN
c 112 R8_CNDLC
c 113 R8_CNSHA
c 114 R8_CNTAO
c 115 R8_HKHKG
c 116 R8_KRPUS
c 117 R8_MXLZC
c 118 R8_PABLB
c 119 R8_TWKHH
c 120 R8_USOAK
c 121 R8_USSEA
c 122 R9_CNXMN
c 123 R9_CNYTN
c 124 R9_JPYOK
c 125 R9_MYTPP
c 126 R9_PABLB
c 127 R9_SGSIN
c 128 R9_TWKHH
c 129 R9_USLAX
c 130 O_CAVAN
c 131 O_CNDLC
c 132 O_CNFOC
c 133 O_CNLYG
c 134 O_CNSHA
c 135 O_CNTAO
c 136 O_CNXMN
c 137 O_CNYTN
c 138 O_HKHKG
c 139 O_IDJKT
c 140 O_IDSRG
c 141 O_IDSUB
c 142 O_JPHKT
c 143 O_JPNGO
c 144 O_JPSMZ
c 145 O_JPTYO
c 146 O_JPUKB
c 147 O_JPYOK
c 148 O_KRPUS
c 149 O_MXESE
c 150 O_MXLZC
c 151 O_MYPEN
c 152 O_MYPKG
c 153 O_MYTPP
c 154 O_NICIO
c 155 O_PABLB
c 156 O_PAMIT
c 157 O_PHGES
c 158 O_PHMNL
c 159 O_SGSIN
c 160 O_SVAQJ
c 161 O_THLCH
c 162 O_TWKEL
c 163 O_TWKHH
c 164 O_USDUT
c 165 O_USHNL
c 166 O_USLAX
c 167 O_USLGB
c 168 O_USOAK
c 169 O_USSEA
c 170 O_VNDAD
c 171 O_VNHPH
c 172 O_VNSGN
c 173 D_CAVAN
c 174 D_CNDLC
c 175 D_CNFOC
c 176 D_CNLYG
c 177 D_CNSHA
c 178 D_CNTAO
c 179 D_CNXMN
c 180 D_CNYTN
c 181 D_HKHKG
c 182 D_IDJKT
c 183 D_IDSRG
c 184 D_IDSUB
c 185 D_JPHKT
c 186 D_JPNGO
c 187 D_JPSMZ
c 188 D_JPTYO
c 189 D_JPUKB
c 190 D_JPYOK
c 191 D_KRPUS
c 192 D_MXESE
c 193 D_MXLZC
c 194 D_MYPEN
c 195 D_MYPKG
c 196 D_MYTPP
c 197 D_NICIO
c 198 D_PABLB
c 199 D_PAMIT
c 200 D_PHGES
c 201 D_PHMNL
c 202 D_SGSIN
c 203 D_SVAQJ
c 204 D_THLCH
c 205 D_TWKEL
c 206 D_TWKHH
c 207 D_USDUT
c 208 D_USHNL
c 209 D_USLAX
c 210 D_USLGB
c 211 D_USOAK
c 212 D_USSEA
c 213 D_VNDAD
c 214 D_VNHPH
c 215 D_VNSGN
c
c problem vertices edges commodities resources
p rcmcf 216 930 717 1
c
c origin destination demand resource_limits
k 131 173 33 2400
k 134 173 29 1800
k 135 173 22 2900
k 136 173 27 3100
k 137 173 142 2300
k 138 173 46 2200
k 139 173 1 3500
k 141 173 2 3900
k 147 173 2 1900
k 151 173 1 3700
k 152 173 4 3100
k 153 173 11 2800
k 157 173 11 2600
k 159 173 3 2200
k 161 173 35 3400
k 163 173 3 7000
k 171 173 4 3100
k 172 173 1 3200
k 130 174 9 3300
k 149 174 2 3000
k 150 174 19 4200
k 151 174 4 1200
k 153 174 147 1100
k 155 174 29 3400
k 159 174 18 1100
k 161 174 6 1300
k 164 174 2 1700
k 166 174 69 2800
k 167 174 30 1900
k 168 174 52 2400
k 169 174 11 3600
k 147 175 2 900
k 149 175 2 5000
k 152 175 2 1500
k 153 175 5 2100
k 164 175 4 2200
k 168 175 5 2400
k 169 175 4 2000
k 153 176 44 3000
k 155 176 2 3100
k 166 176 18 2500
k 130 177 22 1800
k 138 177 50 500
k 143 177 2 700
k 148 177 2 400
k 150 177 17 2800
k 153 177 208 1000
k 155 177 388 3200
k 156 177 3 2400
k 157 177 3 1100
k 159 177 21 1000
k 161 177 15 1300
k 166 177 210 1700
k 167 177 98 2100
k 168 177 33 2100
k 169 177 43 2100
k 130 178 5 3000
k 149 178 4 3500
k 150 178 26 4000
k 151 178 2 1500
k 152 178 2 1100
k 153 178 98 2100
k 155 178 30 3300
k 156 178 3 2500
k 159 178 8 1100
k 161 178 1 1600
k 164 178 3 2200
k 165 178 7 2300
k 166 178 232 2300
k 168 178 9 3000
k 169 178 25 3400
k 147 179 1 1200
k 151 179 1 1700
k 153 179 62 1100
k 155 179 41 3300
k 159 179 6 700
k 161 179 14 1900
k 166 179 21 1900
k 169 179 6 3200
k 130 180 10 2400
k 143 180 3 800
k 147 180 15 800
k 151 180 2 800
k 153 180 29 700
k 155 180 68 4100
k 156 180 7 3100
k 159 180 26 600
k 161 180 11 1100
k 166 180 10 2000
k 168 180 26 1900
k 169 180 3 2700
k 130 181 36 2300
k 139 181 4 500
