c resource constrained multi commodity flow
c WorldLarge
c linerlib_networkname WorldLarge-All-5
c
c id type|name
c 0 R0_CNSHA
c 1 R0_HKHKG
c 2 R0_NLRTM
c 3 R10_BEANR
c 4 R10_GBSOU
c 5 R10_NLRTM
c 6 R10_SEGOT
c 7 R10_USCHS
c 8 R10_USMIA
c 9 R11_NGAPP
c 10 R11_SGSIN
c 11 R11_ZACPT
c 12 R12_AUFRE
c 13 R12_SGSIN
c 14 R12_ZADUR
c 15 R13_AUSYD
c 16 R13_SGSIN
c 17 R14_CNDLC
c 18 R14_CNSHA
c 19 R14_HKHKG
c 20 R14_JPNGO
c 21 R14_JPUKB
c 22 R14_KRPUS
c 23 R15_ESALG
c 24 R15_ITGOA
c 25 R15_NLRTM
c 26 R15_USEWR
c 27 R16_CNDLC
c 28 R16_HKHKG
c 29 R16_SGSIN
c 30 R16_TWKHH
c 31 R17_AEJEA
c 32 R17_CNFOC
c 33 R17_CNSHA
c 34 R17_CNTAO
c 35 R17_CNXMN
c 36 R17_HKHKG
c 37 R17_JPHKT
c 38 R17_KRPUS
c 39 R17_MUPLU
c 40 R17_NGAPP
c 41 R17_SGSIN
c 42 R17_TWKEL
c 43 R18_CNSHA
c 44 R18_CNTAO
c 45 R19_BRSSZ
c 46 R19_NLRTM
c 47 R19_USCHS
c 48 R19_USMIA
c 49 R19_USSAV
c 50 R1_CNSHA
c 51 R1_KRPUS
c 52 R1_USLAX
c 53 R20_DEBRV
c 54 R20_DEHAM
c 55 R20_NLRTM
c 56 R20_NOSVG
c 57 R20_PAMIT
c 58 R20_PLGDY
c 59 R20_RULED
c 60 R20_SEGOT
c 61 R20_USCHS
c 62 R20_USILM
c 63 R20_USMIA
c 64 R21_EGPSD
c 65 R21_ESALG
c 66 R21_ESVGO
c 67 R21_GRPIR
c 68 R21_ILHFA
c 69 R21_ITTRS
c 70 R21_LBBEY
c 71 R21_TRMER
c 72 R21_UAODS
c 73 R22_CNSHA
c 74 R22_FRFOS
c 75 R22_GBSOU
c 76 R22_NLRTM
c 77 R22_SGSIN
c 78 R22_ZADUR
c 79 R23_CNSHA
c 80 R23_CNYTN
c 81 R23_HKHKG
c 82 R23_JPOSA
c 83 R23_JPUKB
c 84 R23_NZAKL
c 85 R23_NZPOE
c 86 R23_USEWR
c 87 R24_BEZEE
c 88 R24_CAMTR
c 89 R24_DEBRV
c 90 R24_ESALG
c 91 R24_NLRTM
c 92 R24_NOSVG
c 93 R24_USCHS
c 94 R25_AEJEA
c 95 R25_IRBND
c 96 R25_SADMM
c 97 R25_SAJBI
c 98 R26_NLRTM
c 99 R26_SEGOT
c 100 R27_CAVAN
c 101 R27_MXLZC
c 102 R27_USLGB
c 103 R27_USOAK
c 104 R27_USSEA
c 105 R28_CNYTN
c 106 R28_HKHKG
c 107 R28_KRPUS
c 108 R28_USLAX
c 109 R28_USOAK
c 110 R29_INMAA
c 111 R29_SGSIN
c 112 R2_AEJEA
c 113 R2_CNYTN
c 114 R2_HKHKG
c 115 R30_DJJIB
c 116 R30_HKHKG
c 117 R30_JOAQB
c 118 R30_MYPKG
c 119 R30_SAJED
c 120 R31_FRLEH
c 121 R31_GRPIR
c 122 R31_NLRTM
c 123 R32_AUMEL
c 124 R32_CNDLC
c 125 R32_CNSHA
c 126 R32_CNYTN
c 127 R32_USLGB
c 128 R33_DKAAR
c 129 R33_NLRTM
c 130 R34_AEJEA
c 131 R34_ITGOA
c 132 R35_EGPSD
c 133 R35_ESBCN
c 134 R35_FRDKK
c 135 R35_FRFOS
c 136 R35_GBFXT
c 137 R35_ITGOA
c 138 R35_NLRTM
c 139 R36_CNYTN
c 140 R36_HKHKG
c 141 R36_JPSMZ
c 142 R36_JPTYO
c 143 R36_JPYOK
c 144 R37_NZAKL
c 145 R37_NZNPL
c 146 R38_AUBNE
c 147 R38_AUMEL
c 148 R38_HKHKG
c 149 R38_NZWLG
c 150 R39_DEHAM
c 151 R39_NLRTM
c 152 R3_BEZEE
c 153 R3_CNSHA
c 154 R3_DEBRV
c 155 R3_ESALG
c 156 R3_ESVLC
c 157 R3_GBFXT
c 158 R3_HKHKG
c 159 R3_ITGIT
c 160 R3_MAPTM
c 161 R3_NLRTM
c 162 R40_ESVLC
c 163 R40_NLRTM
c 164 R41_AEJEA
c 165 R41_INNSA
c 166 R42_NLRTM
c 167 R42_SNDKR
c 168 R43_NLRTM
c 169 R43_TRAMB
c 170 R44_BEANR
c 171 R44_BJCOO
c 172 R44_CIABJ
c 173 R44_NGAPP
c 174 R44_SNDKR
c 175 R45_HKHKG
c 176 R45_MYPKG
c 177 R45_MYTPP
c 178 R45_SGSIN
