c resource constrained multi commodity flow
c WorldSmall
c linerlib_networkname WorldSmall_Best_Base
c
c id type|name
c 0 R0_AOLAD
c 1 R0_GHTKD
c 2 R0_MAPTM
c 3 R0_NGAPP
c 4 R0_ZADUR
c 5 R10_CAVAN
c 6 R10_CNSHA
c 7 R10_CNTAO
c 8 R10_JPYOK
c 9 R11_CNSHA
c 10 R11_CNTAO
c 11 R11_EGPSD
c 12 R11_HKHKG
c 13 R11_KRPUS
c 14 R11_MYPKG
c 15 R11_MYTPP
c 16 R11_OMSLL
c 17 R11_SGSIN
c 18 R11_TWKHH
c 19 R11_USLAX
c 20 R12_AUBNE
c 21 R12_CAVAN
c 22 R12_MYPKG
c 23 R12_MYTPP
c 24 R12_NZAKL
c 25 R12_TWKHH
c 26 R13_AUBNE
c 27 R13_CAVAN
c 28 R13_CNTAO
c 29 R13_HKHKG
c 30 R13_JPYOK
c 31 R13_KRPUS
c 32 R13_MYPKG
c 33 R13_MYTPP
c 34 R13_NZAKL
c 35 R13_TWKHH
c 36 R13_USLAX
c 37 R14_DEBRV
c 38 R14_EGPSD
c 39 R14_ESALG
c 40 R14_GBFXT
c 41 R14_ITGIT
c 42 R14_MAPTM
c 43 R14_SAJED
c 44 R14_USCHS
c 45 R14_USEWR
c 46 R15_CNSHA
c 47 R15_CNYTN
c 48 R15_MYTPP
c 49 R15_NGAPP
c 50 R15_OMSLL
c 51 R15_SAJED
c 52 R15_ZADUR
c 53 R16_AEJEA
c 54 R16_LKCMB
c 55 R16_SAJED
c 56 R16_ZADUR
c 57 R17_AUBNE
c 58 R17_CNYTN
c 59 R17_MYTPP
c 60 R17_NZAKL
c 61 R17_SGSIN
c 62 R17_TWKHH
c 63 R18_CLSAI
c 64 R18_ESALG
c 65 R18_NLRTM
c 66 R18_PABLB
c 67 R18_PAMIT
c 68 R18_USCHS
c 69 R18_USEWR
c 70 R18_USMIA
c 71 R19_CAVAN
c 72 R19_CLSAI
c 73 R19_PABLB
c 74 R19_PAMIT
c 75 R19_USCHS
c 76 R19_USLAX
c 77 R1_AEJEA
c 78 R1_INNSA
c 79 R1_KEMBA
c 80 R1_LKCMB
c 81 R1_OMSLL
c 82 R1_SAJED
c 83 R20_BRSSZ
c 84 R20_DEBRV
c 85 R20_EGPSD
c 86 R20_GBFXT
c 87 R20_ITGIT
