c resource constrained multi commodity flow
c WorldSmall
c linerlib_networkname WorldSmall_high_best_12848_1
c transhipmenttype complete
c
c id type|name
c 0 R0_DEBRV
c 1 R0_ECGYE
c 2 R0_EGPSD
c 3 R0_GBFXT
c 4 R0_GHTKD
c 5 R0_ITGIT
c 6 R0_NGAPP
c 7 R0_PABLB
c 8 R0_TRAMB
c 9 R10_CAMTR
c 10 R10_EGPSD
c 11 R10_NLRTM
c 12 R11_AUBNE
c 13 R11_HKHKG
c 14 R11_MYPKG
c 15 R11_MYTPP
c 16 R11_NZAKL
c 17 R11_SGSIN
c 18 R12_AEJEA
c 19 R12_AUBNE
c 20 R12_EGPSD
c 21 R12_ITGIT
c 22 R12_LKCMB
c 23 R12_MYTPP
c 24 R12_SAJED
c 25 R12_SGSIN
c 26 R12_USCHS
c 27 R13_BEANR
c 28 R13_BRSSZ
c 29 R13_CLSAI
c 30 R13_DEBRV
c 31 R13_ESALG
c 32 R13_ITGIT
c 33 R13_NGAPP
c 34 R13_NLRTM
c 35 R13_PABLB
c 36 R13_PAMIT
c 37 R13_USCHS
c 38 R13_USEWR
c 39 R13_USMIA
c 40 R13_ZADUR
c 41 R14_BRSSZ
c 42 R14_DEBRV
c 43 R14_ESALG
c 44 R14_GBFXT
c 45 R14_MAPTM
c 46 R14_NGAPP
c 47 R14_NLRTM
c 48 R14_PAMIT
c 49 R15_DEBRV
c 50 R15_ESALG
c 51 R15_NLRTM
c 52 R15_PAMIT
c 53 R15_USCHS
c 54 R15_USMIA
c 55 R16_AEJEA
c 56 R16_MYPKG
c 57 R16_MYTPP
c 58 R16_NGAPP
c 59 R16_OMSLL
c 60 R16_SGSIN
c 61 R16_ZADUR
c 62 R17_CLSAI
c 63 R17_DEBRV
c 64 R17_ESALG
c 65 R17_PABLB
c 66 R17_PAMIT
c 67 R17_USEWR
c 68 R18_AUBNE
c 69 R18_CNSHA
c 70 R18_CNTAO
c 71 R18_JPYOK
c 72 R18_KRPUS
c 73 R18_NZAKL
c 74 R18_PABLB
c 75 R18_TWKHH
c 76 R19_BEANR
c 77 R19_CNSHA
c 78 R19_GBFXT
c 79 R19_HKHKG
c 80 R19_LKCMB
c 81 R19_SAJED
c 82 R19_ZADUR
c 83 R1_EGPSD
c 84 R1_INNSA
c 85 R1_ITGIT
c 86 R1_LKCMB
c 87 R1_MAPTM
c 88 R1_OMSLL
c 89 R1_PKBQM
c 90 R1_TRAMB
c 91 R1_UYMVD
c 92 R20_DEBRV
c 93 R20_MYPKG
c 94 R20_NLRTM
c 95 R21_AEJEA
c 96 R21_CAVAN
c 97 R21_CNSHA
c 98 R21_CNYTN
c 99 R21_HKHKG
c 100 R21_JPYOK
c 101 R21_MYTPP
c 102 R22_EGPSD
c 103 R22_ESBCN
c 104 R22_GBFXT
c 105 R22_ITGIT
c 106 R22_LKCMB
c 107 R22_NLRTM
c 108 R22_OMSLL
c 109 R22_SAJED
c 110 R23_CAVAN
c 111 R23_CNSHA
c 112 R23_HKHKG
c 113 R23_JPYOK
c 114 R23_KRPUS
c 115 R23_MYTPP
c 116 R23_SAJED
c 117 R23_USLAX
c 118 R24_AEJEA
c 119 R24_EGPSD
c 120 R24_ESALG
c 121 R24_ITGIT
c 122 R24_LKCMB
c 123 R24_MYTPP
c 124 R24_OMSLL
c 125 R24_SAJED
c 126 R24_SGSIN
c 127 R25_BEZEE
c 128 R25_DEBRV
c 129 R25_ESALG
c 130 R25_ITGIT
c 131 R25_NLRTM
c 132 R25_SAJED
c 133 R26_CNSHA
c 134 R26_DEBRV
c 135 R26_EGPSD
c 136 R26_HKHKG
c 137 R26_MAPTM
c 138 R26_MYPKG
c 139 R26_SAJED
c 140 R27_CNTAO
c 141 R27_CNYTN
c 142 R27_HKHKG
c 143 R27_ITGIT
c 144 R27_TWKHH
c 145 R28_BEANR
c 146 R28_DEBRV
c 147 R28_GBFXT
c 148 R28_NGAPP
c 149 R28_NLRTM
c 150 R29_CNSHA
c 151 R29_HKHKG
c 152 R29_JPYOK
c 153 R29_LKCMB
c 154 R29_MYPKG
c 155 R29_MYTPP
c 156 R29_SGSIN
c 157 R2_KEMBA
c 158 R2_ZADUR
c 159 R30_DEHAM
c 160 R30_ESALG
c 161 R30_GBFXT
c 162 R30_MAPTM
c 163 R30_SAJED
c 164 R31_CNTAO
c 165 R31_CNYTN
c 166 R31_HKHKG
c 167 R31_MYPKG
c 168 R31_MYTPP
c 169 R31_TWKHH
c 170 R32_CNSHA
c 171 R32_CNTAO
c 172 R32_JPYOK
c 173 R32_TWKHH
c 174 R33_EGPSD
c 175 R33_GBFXT
c 176 R33_SAJED
c 177 R33_USCHS
c 178 R34_CNTAO
c 179 R34_CNYTN
c 180 R34_KRPUS
c 181 R34_MYPKG
c 182 R34_MYTPP
c 183 R34_SGSIN
c 184 R34_TWKHH
c 185 R35_CNSHA
c 186 R35_CNTAO
c 187 R35_CNYTN
c 188 R35_JPYOK
c 189 R35_KRPUS
c 190 R35_LKCMB
c 191 R35_SGSIN
c 192 R35_TWKHH
c 193 R3_AOLAD
c 194 R3_GHTKD
c 195 R3_NGAPP
c 196 R4_EGPSD
c 197 R4_INNSA
c 198 R4_ITGIT
c 199 R4_PAMIT
c 200 R4_PKBQM
c 201 R4_SAJED
c 202 R4_USMIA
c 203 R5_AEJEA
c 204 R5_EGPSD
c 205 R5_INNSA
c 206 R5_ITGIT
c 207 R5_OMSLL
c 208 R5_PKBQM
c 209 R5_SAJED
c 210 R5_TRAMB
c 211 R6_AEJEA
c 212 R6_ESALG
c 213 R6_INNSA
c 214 R6_ITGIT
c 215 R6_MYPKG
c 216 R6_OMSLL
c 217 R6_PKBQM
c 218 R6_SAJED
c 219 R6_TRAMB
c 220 R7_AEJEA
c 221 R7_CNYTN
c 222 R7_INNSA
c 223 R7_MYPKG
c 224 R7_MYTPP
c 225 R7_PKBQM
c 226 R7_SAJED
c 227 R7_TWKHH
c 228 R8_AUBNE
c 229 R8_CLSAI
c 230 R8_CNTAO
c 231 R8_ITGIT
c 232 R8_JPYOK
c 233 R8_KRPUS
c 234 R8_NLRTM
c 235 R8_NZAKL
c 236 R8_TWKHH
c 237 R8_USCHS
c 238 R9_AEJEA
c 239 R9_AUBNE
c 240 R9_DEBRV
c 241 R9_ESALG
c 242 R9_GBFXT
c 243 R9_ITGIT
c 244 R9_MYPKG
c 245 R9_MYTPP
c 246 R9_NLRTM
c 247 R9_NZAKL
c 248 R9_OMSLL
c 249 R9_SAJED
c 250 R9_USCHS
c 251 O_BEANR
c 252 O_USMIA
c 253 O_GBFXT
c 254 O_USLAX
c 255 O_TRAMB
c 256 O_MYTPP
c 257 O_ITGIT
c 258 O_AOLAD
c 259 O_EGPSD
c 260 O_NZAKL
c 261 O_DEBRV
c 262 O_DEHAM
c 263 O_ZADUR
c 264 O_NGAPP
c 265 O_GHTKD
c 266 O_AEJEA
c 267 O_MAPTM
c 268 O_SGSIN
c 269 O_PAMIT
c 270 O_ECGYE
c 271 O_CNTAO
c 272 O_CNSHA
c 273 O_CLSAI
c 274 O_KEMBA
c 275 O_ESALG
c 276 O_NLRTM
c 277 O_JPYOK
c 278 O_USEWR
c 279 O_KRPUS
c 280 O_ESBCN
c 281 O_CAVAN
c 282 O_UYMVD
c 283 O_TWKHH
c 284 O_PABLB
c 285 O_CNYTN
c 286 O_LKCMB
c 287 O_CAMTR
c 288 O_HKHKG
c 289 O_MYPKG
c 290 O_BRSSZ
c 291 O_BEZEE
c 292 O_INNSA
c 293 O_USCHS
c 294 O_SAJED
c 295 O_AUBNE
c 296 O_OMSLL
c 297 O_PKBQM
c 298 D_BEZEE
c 299 D_BEANR
c 300 D_ITGIT
c 301 D_EGPSD
c 302 D_GHTKD
c 303 D_CNTAO
c 304 D_PAMIT
c 305 D_SGSIN
c 306 D_AUBNE
c 307 D_HKHKG
c 308 D_GBFXT
c 309 D_MYPKG
c 310 D_CNSHA
c 311 D_CLSAI
c 312 D_USMIA
c 313 D_NZAKL
c 314 D_DEHAM
c 315 D_TRAMB
c 316 D_AEJEA
c 317 D_PABLB
c 318 D_ZADUR
c 319 D_JPYOK
c 320 D_CAVAN
c 321 D_USEWR
c 322 D_CAMTR
c 323 D_UYMVD
c 324 D_NGAPP
c 325 D_TWKHH
c 326 D_DEBRV
c 327 D_SAJED
c 328 D_KEMBA
c 329 D_PKBQM
c 330 D_ESALG
c 331 D_KRPUS
c 332 D_CNYTN
c 333 D_AOLAD
c 334 D_USCHS
c 335 D_LKCMB
c 336 D_ESBCN
c 337 D_MYTPP
c 338 D_BRSSZ
c 339 D_USLAX
c 340 D_INNSA
c 341 D_MAPTM
c 342 D_OMSLL
c 343 D_NLRTM
c 344 D_ECGYE
c
c problem vertices edges commodities resources
p rcmcf 345 2405 1764 1
c
c origin destination demand resource_limits
k 258 316 1 4700
k 295 316 82 2600
k 251 316 66 2300
k 291 316 86 2800
k 290 316 394 3600
k 287 316 39 3900
k 281 316 91 4200
k 273 316 4 4600
k 272 316 430 2500
k 271 316 323 2600
k 285 316 316 2000
k 261 316 387 2200
k 262 316 11 2700
k 270 316 32 4300
k 259 316 210 1100
k 275 316 60 1800
k 280 316 34 2500
k 253 316 156 2500
k 265 316 30 3100
k 288 316 327 1900
k 292 316 169 600
k 257 316 410 1700
k 277 316 355 2900
k 274 316 83 1700
k 279 316 246 3000
k 286 316 62 1000
k 267 316 6 2300
k 289 316 43 1500
k 256 316 300 1100
k 264 316 51 3300
k 276 316 355 2200
k 260 316 42 3300
k 296 316 29 600
k 269 316 9 3900
k 297 316 7 1300
k 294 316 48 600
k 268 316 19 1500
k 255 316 60 2200
k 283 316 18 2500
k 293 316 435 2500
k 278 316 383 2300
k 254 316 13 4400
k 252 316 114 3500
k 282 316 7 4800
k 263 316 256 1900
k 266 333 212 3500
k 251 333 28 2500
k 290 333 133 2800
k 287 333 24 5200
k 273 333 2 5000
k 272 333 163 3200
k 271 333 46 3900
k 285 333 55 3000
k 261 333 13 2600
k 259 333 31 2800
k 275 333 22 1700
k 280 333 3 2900
k 288 333 71 3200
k 292 333 100 2800
k 257 333 169 1900
k 277 333 12 3600
k 279 333 7 4500
k 286 333 8 2800
k 267 333 1 2400
k 289 333 9 2400
k 256 333 41 2300
k 264 333 8 1500
k 276 333 36 2700
k 260 333 5 5000
k 296 333 3 3700
k 294 333 5 2900
k 268 333 23 2500
k 255 333 9 3100
k 283 333 3 4600
k 293 333 31 3300
k 278 333 18 4200
k 254 333 2 4600
k 252 333 21 4000
k 282 333 93 2000
k 263 333 53 1100
k 266 306 97 2400
k 251 306 6 5000
k 291 306 4 5200
k 290 306 1 6400
k 281 306 12 3000
k 273 306 57 3300
k 272 306 231 1500
k 271 306 164 1900
k 285 306 126 1500
k 261 306 179 4000
k 262 306 38 4900
k 270 306 7 2900
k 259 306 23 3600
k 275 306 17 4200
k 280 306 2 5600
k 253 306 113 4500
k 288 306 270 1300
k 292 306 23 3300
k 257 306 151 3500
k 277 306 74 2300
k 279 306 174 2000
k 286 306 6 3000
k 289 306 25 1400
k 256 306 301 800
k 276 306 259 3500
k 260 306 341 400
k 284 306 10 3000
k 269 306 12 3600
k 297 306 19 3800
k 294 306 12 3100
k 268 306 84 900
k 255 306 16 3500
k 283 306 74 2000
k 293 306 211 2800
k 254 306 83 2400
k 252 306 35 3700
k 282 306 22 6300
k 263 306 6 3700
k 266 299 12 2500
k 291 299 11 1500
k 290 299 111 1800
k 287 299 15 2000
k 281 299 4 5900
k 273 299 12 2600
k 272 299 158 3600
k 271 299 38 3800
k 285 299 167 3100
k 261 299 15 400
k 270 299 23 2200
k 259 299 20 1900
k 275 299 18 300
k 253 299 1 1000
k 265 299 15 1700
k 288 299 82 2900
k 292 299 18 2500
k 257 299 50 1300
k 277 299 40 3700
k 274 299 35 3800
k 279 299 29 3800
k 286 299 50 2600
k 267 299 4 1000
k 289 299 2 2400
k 256 299 92 2500
k 264 299 276 1500
k 276 299 2 1300
k 260 299 8 4000
k 296 299 5 3400
k 284 299 3 2600
k 269 299 13 2700
k 297 299 5 2800
k 294 299 14 1900
k 268 299 2 3000
k 255 299 3 2200
k 283 299 20 3800
k 293 299 13 1500
k 278 299 14 1400
k 252 299 18 1800
k 282 299 20 2600
k 263 299 133 2600
k 266 298 65 2800
k 295 298 9 5500
k 290 298 14 1800
k 272 298 193 4200
k 271 298 16 4700
k 285 298 185 3500
k 270 298 6 2300
k 259 298 16 1700
k 265 298 1 1900
k 288 298 114 3900
k 292 298 38 2500
k 257 298 8 1300
k 277 298 12 4700
k 274 298 11 3600
k 279 298 9 4300
k 286 298 88 2400
k 289 298 13 3400
k 256 298 259 3000
k 264 298 1 2100
k 260 298 43 4900
k 296 298 40 2000
k 269 298 4 1900
k 297 298 13 2900
k 294 298 62 1600
k 268 298 6 3700
k 255 298 17 1700
k 283 298 22 4300
k 282 298 4 3300
k 266 338 3 4200
k 295 338 3 5700
k 251 338 72 2700
k 291 338 10 2500
k 272 338 477 4200
k 271 338 114 4000
k 285 338 99 3700
k 261 338 19 2100
k 262 338 7 1900
k 270 338 10 3600
k 259 338 4 3500
k 275 338 18 1800
k 253 338 13 2600
k 288 338 319 3500
k 292 338 37 4200
k 257 338 15 2500
k 277 338 92 4600
k 279 338 139 4500
k 286 338 20 4400
k 267 338 1 2700
k 289 338 9 3800
k 256 338 121 3100
k 264 338 1 2500
k 276 338 37 2600
k 260 338 1 6000
k 296 338 3 3500
k 284 338 16 2200
k 269 338 30 2000
k 297 338 2 4600
k 294 338 5 2900
k 268 338 1 3200
k 283 338 42 3500
k 263 338 7 3500
k 251 322 11 1400
k 290 322 3 4600
k 261 322 153 1600
k 275 322 3 2300
k 253 322 3 1900
k 274 322 5 4500
k 286 322 3 4700
k 267 322 1 3300
k 264 322 4 3400
k 276 322 129 1500
k 294 322 5 3400
k 282 322 27 7000
k 266 320 13 3100
k 258 320 1 4800
k 295 320 30 1500
k 251 320 38 3500
k 272 320 346 1600
k 271 320 192 1900
k 285 320 513 1900
k 261 320 10 3800
k 253 320 5 4000
k 288 320 418 1900
k 292 320 17 4500
k 257 320 6 5200
k 277 320 116 1800
k 274 320 2 6300
k 279 320 37 1300
k 286 320 13 2700
k 289 320 26 2500
k 256 320 301 2100
k 276 320 31 2700
k 260 320 6 2100
k 296 320 1 3800
k 284 320 11 2900
k 269 320 3 2400
k 297 320 1 4700
k 294 320 2 5000
k 268 320 11 2200
k 283 320 83 1700
k 263 320 2 4600
k 266 311 1 4900
k 258 311 1 5300
k 295 311 4 3700
k 251 311 7 3200
k 291 311 2 3200
k 290 311 1 3000
k 272 311 80 3800
k 271 311 54 4500
k 285 311 15 4200
k 261 311 55 3100
k 262 311 11 2600
k 270 311 9 900
k 275 311 33 2800
k 280 311 2 4900
k 253 311 4 2900
k 288 311 126 3600
k 292 311 2 5800
k 257 311 27 3300
k 277 311 68 3200
k 279 311 86 3700
k 289 311 2 5600
k 256 311 109 3900
k 276 311 55 2300
k 260 311 1 3300
k 296 311 3 6900
k 284 311 23 300
k 269 311 16 2000
k 297 311 8 5200
k 294 311 3 5700
k 283 311 13 4500
k 293 311 36 2300
k 278 311 38 2300
k 254 311 18 2900
k 252 311 82 1600
k 263 311 2 4800
k 266 310 9 2400
k 258 310 7 3700
k 295 310 46 2100
k 251 310 15 3300
k 291 310 7 3800
k 290 310 31 3800
k 281 310 109 1800
k 273 310 34 4000
k 261 310 217 3900
k 262 310 55 4300
k 270 310 10 3400
k 259 310 18 2600
k 275 310 29 3500
k 280 310 1 4200
k 253 310 12 3600
k 265 310 62 4700
k 288 310 49 500
k 292 310 15 2100
k 257 310 90 3400
k 277 310 3 700
k 274 310 15 3000
k 279 310 1 400
k 286 310 16 1500
k 289 310 2 1500
k 256 310 31 1000
k 264 310 110 4200
k 276 310 272 3500
k 260 310 34 2200
k 296 310 1 2600
k 284 310 20 2800
k 269 310 40 2400
k 294 310 15 2300
k 268 310 21 1000
k 255 310 2 4300
k 293 310 196 4400
k 278 310 143 4600
k 254 310 307 1700
k 252 310 10 4200
k 282 310 38 4700
k 263 310 131 2400
k 266 303 30 2600
k 295 303 72 2100
k 251 303 13 4000
k 291 303 3 3300
k 290 303 6 5700
k 281 303 113 1700
k 273 303 28 3900
k 261 303 411 4100
k 262 303 6 4900
k 270 303 46 5100
k 259 303 43 3300
k 275 303 14 4200
k 280 303 1 5400
k 253 303 52 3500
k 265 303 30 5900
k 292 303 13 2100
k 257 303 50 3600
k 274 303 14 3400
k 286 303 5 2200
k 267 303 1 4500
k 289 303 1 1100
k 256 303 17 1100
k 264 303 15 4900
k 276 303 244 3500
k 260 303 54 2500
k 296 303 35 2100
k 284 303 50 3000
k 269 303 8 2500
k 294 303 17 3300
k 268 303 25 1100
k 255 303 6 3600
k 293 303 27 3300
k 278 303 20 5000
k 254 303 354 1900
k 252 303 7 4800
k 282 303 27 4600
k 263 303 174 2500
k 266 332 19 2400
k 258 332 4 3600
k 295 332 4 2700
k 291 332 2 3900
k 290 332 3 4200
k 281 332 71 1900
k 273 332 6 4100
k 272 332 2 1100
k 261 332 43 3400
k 262 332 3 4500
k 270 332 3 4600
k 275 332 18 3400
k 280 332 5 3700
k 253 332 37 3900
k 265 332 3 5500
k 288 332 136 300
k 292 332 4 2100
k 257 332 12 3800
k 277 332 21 800
k 274 332 1 3700
k 279 332 1 900
k 286 332 2 1800
k 256 332 95 700
k 264 332 16 5400
k 276 332 60 3200
k 260 332 49 2400
k 296 332 2 2600
k 284 332 5 4500
k 269 332 9 3100
k 297 332 6 1700
k 268 332 29 600
k 283 332 78 500
k 293 332 90 4100
k 278 332 7 5300
k 254 332 67 2000
k 282 332 1 5200
k 263 332 17 2900
k 266 326 70 2300
k 258 326 9 3300
k 295 326 41 5000
k 251 326 22 1100
k 291 326 1 400
k 290 326 881 1800
k 287 326 220 1600
k 281 326 36 5700
k 273 326 135 3200
k 272 326 1860 3600
k 271 326 840 4000
k 285 326 922 3200
k 270 326 759 2100
k 259 326 47 1000
k 275 326 159 900
k 280 326 95 2300
k 253 326 14 300
k 265 326 23 2400
k 288 326 819 3400
k 292 326 145 2800
k 257 326 207 1400
k 277 326 157 4300
k 274 326 91 3400
k 279 326 1605 4100
k 286 326 205 2600
k 267 326 22 1100
k 289 326 140 2900
k 256 326 1041 2600
k 264 326 57 2000
k 276 326 138 400
k 260 326 34 4700
k 284 326 10 2400
k 269 326 105 2400
k 297 326 90 2700
k 294 326 20 1800
k 268 326 34 3200
k 255 326 96 1800
k 283 326 164 3900
k 293 326 539 1500
k 278 326 162 1200
k 254 326 2 5000
k 252 326 175 1800
k 282 326 364 2700
k 263 326 251 2300
k 266 314 2 3100
k 295 314 7 4600
k 290 314 6 2000
k 273 314 3 2800
k 272 314 202 4600
k 271 314 60 4500
k 285 314 115 4100
k 270 314 3 2500
k 259 314 4 2300
k 275 314 10 700
k 265 314 8 3500
k 288 314 109 3700
k 292 314 16 2700
k 257 314 5 1000
k 277 314 43 5200
k 274 314 1 3800
k 279 314 25 4400
k 286 314 34 3700
k 289 314 3 2900
k 256 314 117 3500
k 264 314 2 2000
k 260 314 26 4400
k 269 314 9 2700
k 297 314 6 3100
k 294 314 1 1800
k 268 314 5 4100
k 283 314 45 4800
k 293 314 1 1700
k 278 314 2 1400
k 252 314 6 1700
k 282 314 5 3600
k 263 314 7 2600
k 295 344 1 4200
k 251 344 1 3100
k 290 344 2 2900
k 273 344 2 2200
k 272 344 46 3800
k 271 344 31 4300
k 261 344 19 2700
k 262 344 2 2900
k 275 344 8 2900
k 253 344 14 3400
k 265 344 3 5100
k 288 344 58 3300
k 292 344 5 5500
k 257 344 4 3000
k 277 344 3 3200
k 279 344 19 3500
k 286 344 7 4300
k 256 344 17 5400
k 276 344 18 2100
k 260 344 2 3200
k 296 344 6 6100
k 284 344 68 900
k 269 344 45 500
k 297 344 1 4800
k 294 344 11 5400
k 268 344 1 3900
k 283 344 9 4200
k 293 344 42 1400
k 278 344 10 1800
k 254 344 16 2600
k 252 344 38 1200
k 263 344 1 4400
k 266 301 122 1000
k 295 301 14 3800
k 251 301 1 1900
k 291 301 5 1700
k 290 301 123 2600
k 287 301 23 2500
k 273 301 11 3400
k 272 301 162 2700
k 271 301 88 2900
k 285 301 173 2900
k 261 301 323 1100
k 262 301 22 1900
k 275 301 28 600
k 280 301 3 2200
k 253 301 54 1300
k 265 301 3 2800
k 288 301 188 2400
k 292 301 132 1600
k 257 301 98 600
k 277 301 153 2700
k 274 301 32 2100
k 279 301 281 2700
k 286 301 106 1400
k 267 301 19 1000
k 289 301 29 1700
k 256 301 228 1600
k 264 301 23 2200
k 276 301 211 1300
k 260 301 16 4000
k 296 301 43 900
k 269 301 1 3100
k 297 301 13 1400
k 294 301 47 600
k 268 301 13 3000
k 255 301 8 1200
k 283 301 86 2900
k 293 301 98 1700
k 278 301 17 2800
k 254 301 1 4500
k 252 301 201 2400
k 282 301 50 3000
k 263 301 9 2300
k 266 330 75 1800
k 258 330 19 1900
k 295 330 7 3500
k 251 330 22 500
k 291 330 7 1600
k 290 330 113 1100
k 287 330 3 2000
k 281 330 2 4300
k 273 330 54 2100
k 272 330 541 3200
k 271 330 281 3900
k 285 330 426 2600
k 261 330 150 600
k 262 330 5 1600
k 270 330 118 2000
k 259 330 30 600
k 280 330 9 1300
k 253 330 32 1000
k 265 330 27 500
k 288 330 203 2800
k 292 330 62 1700
k 257 330 75 400
k 277 330 51 3300
k 274 330 7 2700
k 279 330 54 3200
k 286 330 61 2300
k 267 330 9 1500
k 289 330 7 2500
k 256 330 231 2000
k 264 330 48 1400
k 276 330 104 700
k 260 330 22 4300
k 296 330 21 1300
k 284 330 2 1400
k 269 330 54 1400
k 297 330 27 2100
k 294 330 91 800
k 268 330 12 2900
k 255 330 2 2100
k 283 330 51 3300
k 293 330 44 1100
k 278 330 12 2200
k 252 330 34 1700
k 282 330 93 300
k 263 330 61 1300
k 266 336 6 2800
k 295 336 1 5000
k 290 336 4 2500
k 273 336 10 3400
k 272 336 222 3500
k 271 336 68 4100
k 285 336 202 2800
k 270 336 6 2900
k 259 336 8 700
k 288 336 130 3100
k 292 336 9 2700
k 257 336 4 1000
k 277 336 80 4000
k 274 336 1 2800
k 279 336 39 3100
k 286 336 12 2000
k 267 336 1 2600
k 289 336 5 3200
k 256 336 120 2200
k 264 336 6 1800
k 260 336 1 5400
k 296 336 2 1500
k 269 336 5 3300
k 297 336 5 3200
k 294 336 2 2200
k 268 336 1 3200
k 255 336 1 1500
k 283 336 23 3600
