c resource constrained multi commodity flow
c WorldSmall
c linerlib_networkname WorldSmall_pid_4953_15_best_low
c
c id type|name
c 0 R0_AOLAD
c 1 R0_BRSSZ
c 2 R0_GHTKD
c 3 R0_NGAPP
c 4 R0_UYMVD
c 5 R0_ZADUR
c 6 R10_CNTAO
c 7 R10_JPYOK
c 8 R10_MYTPP
c 9 R10_USLAX
c 10 R11_AUBNE
c 11 R11_CNTAO
c 12 R11_MYTPP
c 13 R11_NZAKL
c 14 R12_EGPSD
c 15 R12_ITGIT
c 16 R12_LKCMB
c 17 R13_CNSHA
c 18 R13_CNTAO
c 19 R13_MYPKG
c 20 R13_SGSIN
c 21 R13_TWKHH
c 22 R14_DEBRV
c 23 R14_EGPSD
c 24 R14_ESALG
c 25 R14_ITGIT
c 26 R15_BRSSZ
c 27 R15_CAMTR
c 28 R15_CLSAI
c 29 R15_DEBRV
c 30 R15_ESALG
c 31 R15_GBFXT
c 32 R15_PABLB
c 33 R15_PAMIT
c 34 R15_USCHS
c 35 R15_USMIA
c 36 R16_BEANR
c 37 R16_BEZEE
c 38 R16_BRSSZ
c 39 R16_DEBRV
c 40 R16_GBFXT
c 41 R16_ITGIT
c 42 R16_NLRTM
c 43 R16_PAMIT
c 44 R17_PAMIT
c 45 R17_USEWR
c 46 R18_MYPKG
c 47 R18_SAJED
c 48 R18_ZADUR
c 49 R19_BEANR
c 50 R19_DEBRV
c 51 R19_ESBCN
c 52 R19_ITGIT
c 53 R19_NGAPP
c 54 R19_NLRTM
c 55 R19_OMSLL
c 56 R19_SAJED
c 57 R19_USCHS
c 58 R19_USMIA
c 59 R19_ZADUR
c 60 R1_ECGYE
c 61 R1_PABLB
c 62 R1_PAMIT
c 63 R20_CNSHA
c 64 R20_MYTPP
c 65 R20_ZADUR
c 66 R21_BRSSZ
c 67 R21_ESALG
c 68 R21_MAPTM
c 69 R21_NGAPP
c 70 R22_DEBRV
c 71 R22_ESALG
c 72 R22_GBFXT
c 73 R22_NLRTM
c 74 R22_PAMIT
c 75 R22_USMIA
c 76 R23_AEJEA
c 77 R23_CNYTN
c 78 R23_JPYOK
c 79 R23_KRPUS
c 80 R23_MYPKG
c 81 R23_MYTPP
c 82 R23_SAJED
c 83 R24_DEBRV
c 84 R24_LKCMB
c 85 R24_MYTPP
c 86 R24_NLRTM
c 87 R25_AEJEA
c 88 R25_DEBRV
c 89 R25_ITGIT
c 90 R25_LKCMB
c 91 R25_OMSLL
c 92 R25_SAJED
c 93 R26_CAVAN
c 94 R26_CNSHA
c 95 R26_CNYTN
c 96 R26_HKHKG
c 97 R26_JPYOK
c 98 R26_KRPUS
c 99 R26_USLAX
c 100 R27_BEZEE
c 101 R27_ESALG
c 102 R27_GBFXT
c 103 R27_ITGIT
c 104 R27_NLRTM
c 105 R27_SAJED
c 106 R28_HKHKG
c 107 R28_MYTPP
c 108 R28_OMSLL
c 109 R28_SGSIN
c 110 R29_EGPSD
c 111 R29_ITGIT
c 112 R29_OMSLL
c 113 R29_SAJED
c 114 R2_AEJEA
c 115 R2_CNTAO
c 116 R2_INNSA
c 117 R2_MYTPP
c 118 R2_SGSIN
c 119 R2_ZADUR
c 120 R30_AEJEA
c 121 R30_CNYTN
c 122 R30_ESALG
c 123 R30_HKHKG
c 124 R30_ITGIT
c 125 R30_MYTPP
c 126 R30_OMSLL
c 127 R30_TWKHH
c 128 R31_INNSA
c 129 R31_KEMBA
c 130 R31_LKCMB
c 131 R31_MYTPP
c 132 R31_OMSLL
c 133 R31_PKBQM
c 134 R32_GHTKD
c 135 R32_NGAPP
c 136 R33_NGAPP
c 137 R33_ZADUR
c 138 R34_CNSHA
c 139 R34_JPYOK
c 140 R34_MYTPP
c 141 R34_SGSIN
c 142 R35_HKHKG
c 143 R35_KRPUS
c 144 R35_MYPKG
c 145 R35_MYTPP
c 146 R35_SGSIN
c 147 R3_PABLB
c 148 R3_PAMIT
c 149 R3_USCHS
c 150 R3_USLAX
c 151 R4_AEJEA
c 152 R4_EGPSD
c 153 R4_INNSA
c 154 R4_ITGIT
c 155 R4_LKCMB
c 156 R4_OMSLL
c 157 R4_PKBQM
c 158 R4_TRAMB
c 159 R5_AEJEA
c 160 R5_ESBCN
c 161 R5_NLRTM
c 162 R5_SAJED
c 163 R5_USCHS
c 164 R6_DEBRV
c 165 R6_DEHAM
c 166 R6_EGPSD
c 167 R6_ESBCN
c 168 R6_GBFXT
c 169 R6_ITGIT
c 170 R6_MAPTM
c 171 R6_NLRTM
c 172 R7_AUBNE
c 173 R7_CNYTN
c 174 R7_JPYOK
c 175 R7_MYTPP
c 176 R7_SAJED
c 177 R7_TWKHH
c 178 R8_AUBNE
c 179 R8_CNSHA
c 180 R8_CNTAO
c 181 R8_CNYTN
c 182 R8_HKHKG
c 183 R8_KRPUS
c 184 R8_NZAKL
c 185 R8_SGSIN
c 186 R8_TWKHH
c 187 R9_CNSHA
c 188 R9_CNYTN
c 189 R9_JPYOK
c 190 R9_KRPUS
c 191 R9_MYTPP
c 192 R9_SAJED
c 193 R9_SGSIN
c 194 R9_TWKHH
c 195 O_AEJEA
c 196 O_AOLAD
c 197 O_AUBNE
c 198 O_BEANR
c 199 O_BEZEE
c 200 O_BRSSZ
c 201 O_CAMTR
c 202 O_CAVAN
c 203 O_CLSAI
c 204 O_CNSHA
c 205 O_CNTAO
c 206 O_CNYTN
c 207 O_DEBRV
c 208 O_DEHAM
c 209 O_ECGYE
c 210 O_EGPSD
c 211 O_ESALG
c 212 O_ESBCN
c 213 O_GBFXT
c 214 O_GHTKD
c 215 O_HKHKG
c 216 O_INNSA
c 217 O_ITGIT
c 218 O_JPYOK
c 219 O_KEMBA
c 220 O_KRPUS
c 221 O_LKCMB
c 222 O_MAPTM
c 223 O_MYPKG
c 224 O_MYTPP
c 225 O_NGAPP
c 226 O_NLRTM
c 227 O_NZAKL
c 228 O_OMSLL
c 229 O_PABLB
c 230 O_PAMIT
c 231 O_PKBQM
c 232 O_SAJED
c 233 O_SGSIN
c 234 O_TRAMB
c 235 O_TWKHH
c 236 O_USCHS
c 237 O_USEWR
c 238 O_USLAX
c 239 O_USMIA
c 240 O_UYMVD
c 241 O_ZADUR
c 242 D_AEJEA
c 243 D_AOLAD
c 244 D_AUBNE
c 245 D_BEANR
c 246 D_BEZEE
c 247 D_BRSSZ
c 248 D_CAMTR
c 249 D_CAVAN
c 250 D_CLSAI
c 251 D_CNSHA
c 252 D_CNTAO
c 253 D_CNYTN
c 254 D_DEBRV
c 255 D_DEHAM
c 256 D_ECGYE
c 257 D_EGPSD
c 258 D_ESALG
c 259 D_ESBCN
c 260 D_GBFXT
c 261 D_GHTKD
c 262 D_HKHKG
c 263 D_INNSA
c 264 D_ITGIT
c 265 D_JPYOK
c 266 D_KEMBA
c 267 D_KRPUS
c 268 D_LKCMB
c 269 D_MAPTM
c 270 D_MYPKG
c 271 D_MYTPP
c 272 D_NGAPP
c 273 D_NLRTM
c 274 D_NZAKL
c 275 D_OMSLL
c 276 D_PABLB
c 277 D_PAMIT
c 278 D_PKBQM
c 279 D_SAJED
c 280 D_SGSIN
c 281 D_TRAMB
c 282 D_TWKHH
c 283 D_USCHS
c 284 D_USEWR
c 285 D_USLAX
c 286 D_USMIA
c 287 D_UYMVD
c 288 D_ZADUR
c
c problem vertices edges commodities resources
p rcmcf 289 1563 1764 1
c
c origin destination demand resource_limits
k 196 242 1 4700
k 197 242 82 2600
k 198 242 66 2300
k 199 242 86 2800
k 200 242 394 3600
k 201 242 39 3900
k 202 242 91 4200
k 203 242 4 4600
k 204 242 430 2500
k 205 242 323 2600
k 206 242 316 2000
k 207 242 387 2200
k 208 242 11 2700
k 209 242 32 4300
k 210 242 210 1100
k 211 242 60 1800
k 212 242 34 2500
k 213 242 156 2500
k 214 242 30 3100
k 215 242 327 1900
k 216 242 169 600
k 217 242 410 1700
k 218 242 355 2900
k 219 242 83 1700
k 220 242 246 3000
k 221 242 62 1000
k 222 242 6 2300
k 223 242 43 1500
k 224 242 300 1100
k 225 242 51 3300
k 226 242 355 2200
k 227 242 42 3300
k 228 242 29 600
k 230 242 9 3900
k 231 242 7 1300
k 232 242 48 600
k 233 242 19 1500
k 234 242 60 2200
k 235 242 18 2500
k 236 242 435 2500
k 237 242 383 2300
k 238 242 13 4400
k 239 242 114 3500
k 240 242 7 4800
k 241 242 256 1900
k 195 243 212 3500
k 198 243 28 2500
k 200 243 133 2800
k 201 243 24 5200
k 203 243 2 5000
k 204 243 163 3200
k 205 243 46 3900
k 206 243 55 3000
k 207 243 13 2600
k 210 243 31 2800
k 211 243 22 1700
k 212 243 3 2900
k 215 243 71 3200
k 216 243 100 2800
k 217 243 169 1900
k 218 243 12 3600
k 220 243 7 4500
k 221 243 8 2800
k 222 243 1 2400
k 223 243 9 2400
k 224 243 41 2300
k 225 243 8 1500
k 226 243 36 2700
k 227 243 5 5000
k 228 243 3 3700
k 232 243 5 2900
k 233 243 23 2500
k 234 243 9 3100
k 235 243 3 4600
k 236 243 31 3300
k 237 243 18 4200
k 238 243 2 4600
k 239 243 21 4000
k 240 243 93 2000
k 241 243 53 1100
k 195 244 97 2400
k 198 244 6 5000
k 199 244 4 5200
k 200 244 1 6400
k 202 244 12 3000
k 203 244 57 3300
k 204 244 231 1500
k 205 244 164 1900
k 206 244 126 1500
k 207 244 179 4000
k 208 244 38 4900
k 209 244 7 2900
k 210 244 23 3600
k 211 244 17 4200
k 212 244 2 5600
k 213 244 113 4500
k 215 244 270 1300
k 216 244 23 3300
k 217 244 151 3500
k 218 244 74 2300
k 220 244 174 2000
k 221 244 6 3000
k 223 244 25 1400
k 224 244 301 800
k 226 244 259 3500
k 227 244 341 400
k 229 244 10 3000
k 230 244 12 3600
k 231 244 19 3800
k 232 244 12 3100
k 233 244 84 900
k 234 244 16 3500
k 235 244 74 2000
k 236 244 211 2800
k 238 244 83 2400
k 239 244 35 3700
k 240 244 22 6300
k 241 244 6 3700
k 195 245 12 2500
k 199 245 11 1500
k 200 245 111 1800
k 201 245 15 2000
k 202 245 4 5900
k 203 245 12 2600
k 204 245 158 3600
k 205 245 38 3800
k 206 245 167 3100
k 207 245 15 400
k 209 245 23 2200
k 210 245 20 1900
k 211 245 18 300
k 213 245 1 1000
k 214 245 15 1700
k 215 245 82 2900
k 216 245 18 2500
k 217 245 50 1300
k 218 245 40 3700
k 219 245 35 3800
k 220 245 29 3800
k 221 245 50 2600
k 222 245 4 1000
k 223 245 2 2400
k 224 245 92 2500
k 225 245 276 1500
k 226 245 2 1300
k 227 245 8 4000
k 228 245 5 3400
k 229 245 3 2600
k 230 245 13 2700
k 231 245 5 2800
k 232 245 14 1900
k 233 245 2 3000
k 234 245 3 2200
k 235 245 20 3800
k 236 245 13 1500
k 237 245 14 1400
k 239 245 18 1800
k 240 245 20 2600
k 241 245 133 2600
k 195 246 65 2800
k 197 246 9 5500
k 200 246 14 1800
k 204 246 193 4200
k 205 246 16 4700
k 206 246 185 3500
k 209 246 6 2300
k 210 246 16 1700
k 214 246 1 1900
k 215 246 114 3900
k 216 246 38 2500
k 217 246 8 1300
k 218 246 12 4700
k 219 246 11 3600
k 220 246 9 4300
k 221 246 88 2400
k 223 246 13 3400
k 224 246 259 3000
k 225 246 1 2100
k 227 246 43 4900
k 228 246 40 2000
