c Shift Minimisation Personnel Task Scheduling Problem (SMPTSP)
c data_2_24_40_33
c
c problem jobs shifts
p smptsp 40 24
c
c job start finish 
c 0 14 619
c 1 29 590
c 2 96 571
c 3 737 1297
c 4 796 1273
c 5 1 606
c 6 230 725
c 7 38 576
c 8 197 735
c 9 139 723
c 10 57 565
c 11 183 749
c 12 740 1261
c 13 748 1361
c 14 856 1343
c 15 315 788
c 16 99 676
c 17 605 1202
c 18 4 582
c 19 699 1222
c 20 102 664
c 21 812 1310
c 22 159 737
c 23 96 613
c 24 754 1259
c 25 7 619
c 26 669 1168
c 27 55 609
c 28 757 1282
c 29 157 702
c 30 899 1363
c 31 850 1355
c 32 650 1252
c 33 33 548
c 34 824 1382
c 35 693 1313
c 36 625 1223
c 37 728 1349
c 38 791 1357
c 39 739 1225
c
c shift cost source target num_qualifications qualifications
k 0 1 80 81 10 5 12 7 13 21 22 31 32 33 39
k 1 1 80 81 16 0 19 2 4 5 6 15 16 17 18 21 23 27 29 30 33
k 2 1 80 81 16 25 28 1 3 8 9 12 20 23 26 29 30 31 33 36 39
k 3 1 80 81 11 8 13 10 20 23 31 32 34 35 36 37
k 4 1 80 81 12 7 35 2 4 5 8 10 15 19 23 25 29
k 5 1 80 81 19 29 37 0 2 3 8 11 13 16 19 20 21 22 23 24 31 35 36 39
k 6 1 80 81 10 27 30 1 6 8 21 24 32 34 38
k 7 1 80 81 14 15 34 2 3 11 12 16 17 18 22 27 35 38 39
k 8 1 80 81 10 2 3 4 6 7 9 18 23 30 32
k 9 1 80 81 14 1 4 0 3 5 9 10 11 19 23 26 29 35 38
k 10 1 80 81 19 20 39 4 8 12 14 15 16 17 18 21 23 24 25 26 27 32 34 37
k 11 1 80 81 12 11 14 0 3 6 9 24 26 31 34 37 38
k 12 1 80 81 14 6 38 0 1 8 9 11 21 22 25 27 28 32 33
k 13 1 80 81 11 16 21 4 6 8 10 25 27 35 36 37
k 14 1 80 81 10 18 26 2 10 13 24 28 30 37 38
k 15 1 80 81 15 22 24 2 6 7 12 20 25 26 27 28 31 32 33 35
k 16 1 80 81 15 9 31 6 10 21 23 24 25 26 30 32 33 35 38 39
k 17 1 80 81 14 10 17 2 3 4 5 6 13 20 23 24 28 35 37
k 18 1 80 81 13 33 36 12 13 14 15 18 22 27 28 31 35 37
k 19 1 80 81 9 23 32 2 4 5 18 22 27 33
k 20 1 80 81 14 37 20 19 14 5 22 2 3 29 36 15 17 4 33
k 21 1 80 81 9 19 4 34 30 36 12 2 38 23
k 22 1 80 81 16 1 31 9 10 20 30 22 35 27 36 21 39 38 17 6 15
k 23 1 80 81 11 21 31 34 18 25 17 6 16 29 1 14
c
c graph source target is_shift
a 0 80 5 0
a 0 5 33 0
a 0 33 7 0
a 0 7 22 0
a 0 22 73 0
a 0 33 73 1
a 0 73 47 0
a 0 7 47 1
a 0 47 45 0
a 0 5 45 1
a 0 45 32 0
a 0 32 62 0
a 0 22 62 1
a 0 62 39 0
a 0 39 12 0
a 0 12 13 0
a 0 13 21 0
a 0 21 31 0
a 0 31 79 0
a 0 39 79 1
a 0 79 72 0
a 0 32 72 1
a 0 72 52 0
a 0 12 52 1
a 0 52 61 0
a 0 21 61 1
a 0 61 71 0
a 0 31 71 1
a 0 71 53 0
a 0 13 53 1
a 0 53 81 0
a 1 80 5 0
a 1 5 18 0
a 1 18 0 0
a 1 0 33 0
a 1 33 27 0
a 1 27 2 0
a 1 2 23 0
a 1 23 16 0
a 1 16 29 0
a 1 29 6 0
a 1 6 15 0
a 1 15 73 0
a 1 33 73 1
a 1 73 42 0
a 1 2 42 1
a 1 42 58 0
a 1 18 58 1
a 1 58 17 0
a 1 17 45 0
a 1 5 45 1
a 1 45 67 0
a 1 27 67 1
a 1 67 63 0
a 1 23 63 1
a 1 63 40 0
a 1 0 40 1
a 1 40 56 0
a 1 16 56 1
a 1 56 19 0
a 1 19 69 0
a 1 29 69 1
a 1 69 46 0
a 1 6 46 1
a 1 46 55 0
a 1 15 55 1
a 1 55 4 0
a 1 4 21 0
a 1 21 30 0
a 1 30 57 0
a 1 17 57 1
a 1 57 59 0
a 1 19 59 1
a 1 59 44 0
a 1 4 44 1
a 1 44 61 0
a 1 21 61 1
a 1 61 70 0
a 1 30 70 1
a 1 70 81 0
a 2 80 25 0
a 2 25 1 0
a 2 1 33 0
a 2 33 23 0
a 2 23 20 0
a 2 20 9 0
a 2 9 29 0
a 2 29 8 0
a 2 8 73 0
a 2 33 73 1
a 2 73 41 0
a 2 1 41 1
a 2 41 63 0
a 2 23 63 1
a 2 63 65 0
a 2 25 65 1
a 2 65 36 0
a 2 36 60 0
a 2 20 60 1
a 2 60 26 0
a 2 26 69 0
a 2 29 69 1
a 2 69 49 0
a 2 9 49 1
a 2 49 48 0
a 2 8 48 1
a 2 48 3 0
a 2 3 39 0
a 2 39 12 0
a 2 12 28 0
a 2 28 31 0
a 2 31 30 0
a 2 30 66 0
a 2 26 66 1
a 2 66 76 0
a 2 36 76 1
a 2 76 79 0
a 2 39 79 1
a 2 79 52 0
a 2 12 52 1
a 2 52 68 0
a 2 28 68 1
a 2 68 43 0
a 2 3 43 1
a 2 43 71 0
a 2 31 71 1
a 2 71 70 0
a 2 30 70 1
a 2 70 81 0
a 3 80 10 0
a 3 10 23 0
a 3 23 20 0
a 3 20 8 0
a 3 8 50 0
a 3 10 50 1
a 3 50 63 0
