c Shift Minimisation Personnel Task Scheduling Problem (SMPTSP)
c data_3_25_40_66
c
c problem jobs shifts
p smptsp 40 25
c
c job start finish 
c 0 236 809
c 1 281 786
c 2 147 644
c 3 90 598
c 4 187 804
c 5 86 620
c 6 184 749
c 7 13 565
c 8 680 1246
c 9 183 669
c 10 657 1301
c 11 812 1370
c 12 796 1365
c 13 87 554
c 14 48 668
c 15 142 732
c 16 210 688
c 17 786 1282
c 18 246 810
c 19 76 740
c 20 825 1338
c 21 668 1254
c 22 702 1224
c 23 292 841
c 24 50 577
c 25 857 1351
c 26 35 570
c 27 83 572
c 28 65 658
c 29 807 1322
c 30 596 1231
c 31 774 1260
c 32 650 1309
c 33 621 1183
c 34 766 1280
c 35 706 1253
c 36 790 1327
c 37 844 1350
c 38 900 1384
c 39 589 1126
c
c shift cost source target num_qualifications qualifications
k 0 1 80 81 31 4 29 0 1 3 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 22 23 24 25 27 28 31 33 34 36 38
k 1 1 80 81 26 14 22 0 1 2 3 5 6 9 10 11 13 15 16 18 20 21 23 25 27 28 30 33 34 35 38
k 2 1 80 81 29 24 30 0 2 4 5 6 8 10 11 12 13 14 15 17 18 19 20 21 22 26 27 28 33 34 35 37 38 39
k 3 1 80 81 25 5 10 3 6 7 9 11 12 13 15 17 19 20 21 22 23 24 27 28 29 32 33 34 37 39
k 4 1 80 81 29 26 32 0 1 2 3 5 6 7 8 10 11 12 16 17 18 19 20 21 22 24 25 27 29 31 33 37 38 39
k 5 1 80 81 30 19 36 0 3 4 5 6 8 9 10 11 12 13 15 16 17 18 20 21 23 24 26 27 28 29 32 33 34 35 37
k 6 1 80 81 27 13 39 1 2 4 5 7 9 10 11 14 16 19 20 21 22 25 26 28 30 31 32 33 35 36 37 38
k 7 1 80 81 26 16 35 0 1 2 3 4 5 8 9 12 13 14 17 19 20 21 22 25 27 28 29 33 34 36 38
k 8 1 80 81 29 23 38 0 1 2 3 4 6 7 8 10 12 13 14 15 18 19 20 21 22 25 26 27 28 29 30 32 35 37
k 9 1 80 81 30 7 31 0 2 4 6 8 10 11 12 14 16 17 18 19 21 22 23 24 25 26 27 30 32 33 35 36 37 38 39
k 10 1 80 81 23 9 11 0 2 5 6 7 10 12 13 14 15 16 18 19 21 25 26 28 32 34 37 39
k 11 1 80 81 24 27 33 0 3 5 8 9 14 15 17 18 20 21 22 25 26 28 30 32 34 35 37 38 39
k 12 1 80 81 24 18 25 0 1 2 4 6 7 11 12 13 16 17 19 21 22 24 27 29 30 31 32 33 38
k 13 1 80 81 30 6 17 0 1 2 4 5 7 8 9 10 11 14 15 16 19 20 21 24 25 26 27 30 31 33 35 36 37 38 39
k 14 1 80 81 28 2 8 0 3 5 7 9 10 11 12 13 14 16 17 18 21 22 23 25 27 29 31 32 33 35 36 37 38
k 15 1 80 81 27 1 12 2 4 5 6 8 9 10 15 18 19 20 21 22 23 24 25 26 27 30 31 32 34 35 36 39
k 16 1 80 81 27 0 37 1 2 3 4 6 7 8 9 10 11 13 15 18 23 24 26 27 28 30 31 32 33 35 38 39
k 17 1 80 81 25 3 21 1 5 8 9 10 12 14 15 16 17 20 22 23 25 26 27 29 30 33 35 36 37 39
k 18 1 80 81 26 15 20 0 1 2 5 6 7 8 10 12 13 19 21 22 24 25 27 29 31 32 33 34 35 38 39
k 19 1 80 81 30 28 34 0 2 5 6 8 10 12 13 14 15 17 18 19 20 21 22 23 24 25 29 30 32 33 35 36 37 38 39
k 20 1 80 81 24 8 3 15 19 6 25 16 13 20 12 37 4 7 23 1 26 5 38 9 10 27 0 21 22
k 21 1 80 81 28 12 31 35 33 3 8 22 15 38 20 16 9 13 23 7 14 17 1 36 4 0 27 6 39 11 19 21 10
k 22 1 80 81 30 20 31 3 0 22 32 12 24 7 39 38 5 14 37 36 10 26 13 17 25 28 21 9 23 4 33 18 8 6 29
k 23 1 80 81 23 27 10 6 12 38 19 25 0 2 17 32 28 21 7 9 18 8 30 22 34 13 23 5
k 24 1 80 81 28 28 0 30 20 34 7 5 23 21 14 22 31 18 12 10 4 2 25 24 37 15 16 26 9 11 32 36 29
c
c graph source target is_shift
a 0 80 7 0
a 0 7 14 0
a 0 14 24 0
a 0 24 28 0
a 0 28 19 0
a 0 19 27 0
a 0 27 5 0
a 0 5 13 0
a 0 13 3 0
a 0 3 15 0
a 0 15 9 0
a 0 9 6 0
a 0 6 4 0
a 0 4 16 0
a 0 16 0 0
a 0 0 18 0
a 0 18 1 0
a 0 1 23 0
a 0 23 53 0
a 0 13 53 1
a 0 53 47 0
a 0 7 47 1
a 0 47 67 0
a 0 27 67 1
a 0 67 64 0
a 0 24 64 1
a 0 64 43 0
a 0 3 43 1
a 0 43 45 0
a 0 5 45 1
a 0 45 33 0
a 0 33 10 0
a 0 10 68 0
a 0 28 68 1
a 0 68 54 0
a 0 14 54 1
a 0 54 49 0
a 0 9 49 1
a 0 49 56 0
a 0 16 56 1
a 0 56 22 0
a 0 22 55 0
a 0 15 55 1
a 0 55 59 0
a 0 19 59 1
a 0 59 46 0
a 0 6 46 1
a 0 46 34 0
a 0 34 31 0
a 0 31 17 0
a 0 17 41 0
a 0 1 41 1
a 0 41 36 0
a 0 36 12 0
a 0 12 44 0
a 0 4 44 1
a 0 44 29 0
a 0 29 40 0
a 0 0 40 1
a 0 40 58 0
a 0 18 58 1
a 0 58 11 0
a 0 11 20 0
a 0 20 63 0
a 0 23 63 1
a 0 63 25 0
a 0 25 38 0
a 0 38 73 0
a 0 33 73 1
a 0 73 62 0
a 0 22 62 1
a 0 62 71 0
a 0 31 71 1
a 0 71 74 0
a 0 34 74 1
a 0 74 57 0
a 0 17 57 1
a 0 57 50 0
a 0 10 50 1
a 0 50 69 0
a 0 29 69 1
a 0 69 76 0
a 0 36 76 1
a 0 76 60 0
a 0 20 60 1
a 0 60 65 0
a 0 25 65 1
a 0 65 52 0
a 0 12 52 1
a 0 52 51 0
a 0 11 51 1
a 0 51 78 0
a 0 38 78 1
a 0 78 81 0
a 1 80 14 0
a 1 14 28 0
a 1 28 27 0
a 1 27 5 0
a 1 5 13 0
a 1 13 3 0
a 1 3 15 0
a 1 15 2 0
a 1 2 9 0
a 1 9 6 0
a 1 6 16 0
a 1 16 0 0
a 1 0 18 0
a 1 18 1 0
a 1 1 23 0
a 1 23 53 0
a 1 13 53 1
a 1 53 67 0
a 1 27 67 1
a 1 67 30 0
a 1 30 43 0
a 1 3 43 1
a 1 43 45 0
a 1 5 45 1
a 1 45 33 0
a 1 33 42 0
a 1 2 42 1
a 1 42 10 0
a 1 10 68 0
a 1 28 68 1
a 1 68 21 0
a 1 21 54 0
a 1 14 54 1
a 1 54 49 0
a 1 9 49 1
a 1 49 56 0
a 1 16 56 1
a 1 56 22 0
a 1 22 35 0
a 1 35 55 0
a 1 15 55 1
a 1 55 46 0
a 1 6 46 1
a 1 46 34 0
a 1 34 41 0
a 1 1 41 1
a 1 41 40 0
a 1 0 40 1
a 1 40 58 0
a 1 18 58 1
a 1 58 11 0
a 1 11 20 0
a 1 20 63 0
a 1 23 63 1
a 1 63 25 0
a 1 25 38 0
a 1 38 73 0
a 1 33 73 1
a 1 73 62 0
a 1 22 62 1
a 1 62 70 0
a 1 30 70 1
a 1 70 75 0
a 1 35 75 1
a 1 75 61 0
a 1 21 61 1
a 1 61 74 0
a 1 34 74 1
a 1 74 50 0
a 1 10 50 1
a 1 50 60 0
a 1 20 60 1
a 1 60 65 0
a 1 25 65 1
a 1 65 51 0
a 1 11 51 1
a 1 51 78 0
a 1 38 78 1
a 1 78 81 0
a 2 80 26 0
a 2 26 14 0
a 2 14 24 0
a 2 24 28 0
a 2 28 19 0
a 2 19 27 0
a 2 27 5 0
a 2 5 13 0
a 2 13 15 0
a 2 15 2 0
a 2 2 6 0
a 2 6 4 0
a 2 4 0 0
a 2 0 18 0
a 2 18 53 0
a 2 13 53 1
a 2 53 66 0
a 2 26 66 1
a 2 66 67 0
a 2 27 67 1
a 2 67 64 0
a 2 24 64 1
a 2 64 39 0
a 2 39 30 0
a 2 30 45 0
a 2 5 45 1
a 2 45 33 0
a 2 33 42 0
a 2 2 42 1
a 2 42 10 0
a 2 10 68 0
a 2 28 68 1
a 2 68 21 0
a 2 21 54 0
a 2 14 54 1
a 2 54 8 0
a 2 8 22 0
